Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.87,0.99 (0.66),0.63 (0.34),0.84 (0.16),0.57 (0.06),0.3 (0.06),0.21 (0.01),0.1 (0.01)
2e4,0.88,0.99 (0.68),0.65 (0.32),0.82 (0.16),0.58 (0.05),0.32 (0.04),0.47 (0.01),0.17 (0.01)
2g8,0.88,0.99 (0.64),0.69 (0.36),0.88 (0.19),0.64 (0.06),0.39 (0.05),0.42 (0.01),0.08 (0.01)
2e8,0.89,0.99 (0.67),0.68 (0.33),0.85 (0.17),0.59 (0.05),0.43 (0.05),0.57 (0.01),0.37 (0.01)
2g9,0.9,0.99 (0.68),0.71 (0.32),0.87 (0.16),0.71 (0.04),0.41 (0.05),0.63 (0.01),0.45 (0.01)
2e9,0.89,1.0 (0.66),0.68 (0.34),0.85 (0.18),0.57 (0.04),0.31 (0.05),0.56 (0.01),0.31 (0.01)
g10,0.87,0.99 (0.65),0.65 (0.35),0.84 (0.19),0.44 (0.05),0.37 (0.05),0.43 (0.01),0.29 (0.0)
e10,0.89,0.99 (0.66),0.69 (0.34),0.85 (0.17),0.53 (0.04),0.42 (0.05),0.54 (0.02),0.33 (0.0)
