Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.84,0.99 (0.6),0.63 (0.4),0.87 (0.18),0.55 (0.07),0.3 (0.06),0.22 (0.03),0.25 (0.01)
2e4,0.85,0.99 (0.59),0.64 (0.41),0.87 (0.19),0.58 (0.07),0.29 (0.06),0.23 (0.02),0.23 (0.01)
2g8,0.86,0.99 (0.6),0.66 (0.4),0.88 (0.19),0.58 (0.06),0.33 (0.06),0.35 (0.02),0.33 (0.01)
2e8,0.86,0.99 (0.59),0.67 (0.41),0.88 (0.19),0.59 (0.06),0.38 (0.06),0.35 (0.02),0.24 (0.01)
2g9,0.86,0.99 (0.6),0.68 (0.4),0.88 (0.19),0.63 (0.06),0.34 (0.06),0.41 (0.02),0.29 (0.01)
2e9,0.86,0.99 (0.59),0.67 (0.41),0.88 (0.19),0.61 (0.07),0.34 (0.06),0.36 (0.02),0.27 (0.01)
g10,0.86,0.99 (0.6),0.67 (0.4),0.89 (0.18),0.6 (0.07),0.35 (0.06),0.35 (0.02),0.32 (0.01)
e10,0.86,0.99 (0.6),0.67 (0.4),0.86 (0.19),0.65 (0.06),0.36 (0.05),0.34 (0.02),0.44 (0.01)
