Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.86,0.99 (0.61),0.64 (0.39),0.88 (0.18),0.56 (0.06),0.26 (0.06),0.36 (0.02),0.15 (0.01)
2e4,0.86,0.99 (0.62),0.64 (0.38),0.88 (0.18),0.53 (0.05),0.3 (0.06),0.36 (0.02),0.29 (0.01)
2g8,0.88,0.99 (0.61),0.7 (0.39),0.88 (0.2),0.66 (0.06),0.42 (0.05),0.45 (0.01),0.28 (0.01)
2e8,0.87,0.99 (0.63),0.67 (0.37),0.88 (0.18),0.56 (0.06),0.34 (0.05),0.49 (0.02),0.23 (0.01)
2g9,0.87,0.99 (0.62),0.68 (0.38),0.87 (0.18),0.58 (0.05),0.4 (0.06),0.49 (0.02),0.37 (0.01)
2e9,0.88,0.99 (0.62),0.69 (0.38),0.88 (0.18),0.57 (0.06),0.38 (0.06),0.46 (0.01),0.32 (0.01)
g10,0.87,0.99 (0.63),0.67 (0.37),0.88 (0.18),0.58 (0.06),0.33 (0.05),0.42 (0.02),0.22 (0.01)
e10,0.87,0.99 (0.63),0.68 (0.37),0.88 (0.18),0.66 (0.05),0.34 (0.06),0.41 (0.02),0.19 (0.01)
