Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.82,0.99 (0.56),0.61 (0.44),0.89 (0.18),0.52 (0.08),0.27 (0.07),0.23 (0.03),0.37 (0.01)
2e4,0.83,0.99 (0.55),0.62 (0.45),0.9 (0.19),0.54 (0.08),0.3 (0.07),0.26 (0.03),0.34 (0.01)
2g8,0.84,0.99 (0.55),0.65 (0.45),0.9 (0.19),0.6 (0.07),0.32 (0.07),0.33 (0.03),0.37 (0.01)
2e8,0.83,0.99 (0.55),0.64 (0.45),0.9 (0.19),0.59 (0.08),0.29 (0.07),0.34 (0.03),0.3 (0.01)
2g9,0.84,0.99 (0.56),0.65 (0.44),0.9 (0.19),0.58 (0.08),0.34 (0.07),0.32 (0.03),0.34 (0.01)
2e9,0.84,0.99 (0.55),0.65 (0.45),0.9 (0.19),0.61 (0.08),0.33 (0.07),0.31 (0.03),0.43 (0.01)
g10,0.84,0.99 (0.55),0.65 (0.45),0.91 (0.19),0.58 (0.08),0.31 (0.07),0.31 (0.03),0.37 (0.01)
e10,0.84,0.99 (0.55),0.65 (0.45),0.9 (0.19),0.61 (0.08),0.33 (0.07),0.31 (0.03),0.39 (0.01)
