Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.86,0.99 (0.61),0.66 (0.39),0.87 (0.19),0.57 (0.06),0.34 (0.06),0.26 (0.01),0.12 (0.01)
2e4,0.87,0.99 (0.63),0.66 (0.37),0.88 (0.18),0.56 (0.05),0.31 (0.06),0.33 (0.01),0.34 (0.01)
2g8,0.87,0.99 (0.62),0.68 (0.38),0.87 (0.19),0.64 (0.05),0.35 (0.06),0.43 (0.02),0.28 (0.01)
2e8,0.88,0.99 (0.62),0.7 (0.38),0.89 (0.19),0.62 (0.05),0.35 (0.06),0.43 (0.02),0.27 (0.0)
2g9,0.87,0.99 (0.62),0.68 (0.38),0.88 (0.19),0.62 (0.05),0.36 (0.06),0.45 (0.02),0.27 (0.01)
2e9,0.87,0.99 (0.62),0.69 (0.38),0.86 (0.19),0.65 (0.06),0.35 (0.06),0.41 (0.02),0.41 (0.01)
g10,0.87,0.99 (0.63),0.67 (0.37),0.87 (0.17),0.57 (0.06),0.37 (0.06),0.45 (0.02),0.42 (0.01)
e10,0.87,0.99 (0.63),0.68 (0.37),0.88 (0.19),0.56 (0.05),0.38 (0.06),0.44 (0.01),0.22 (0.01)
