Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.87,0.99 (0.65),0.67 (0.35),0.86 (0.18),0.52 (0.05),0.35 (0.05),0.27 (0.01),0.11 (0.01)
2e4,0.88,0.99 (0.66),0.67 (0.34),0.85 (0.18),0.53 (0.05),0.3 (0.05),0.33 (0.01),0.2 (0.0)
2g8,0.88,0.99 (0.65),0.68 (0.35),0.84 (0.16),0.71 (0.05),0.32 (0.06),0.37 (0.01),0.22 (0.01)
2e8,0.88,0.99 (0.66),0.68 (0.34),0.85 (0.17),0.64 (0.05),0.32 (0.05),0.57 (0.01),0.25 (0.0)
2g9,0.88,0.99 (0.65),0.69 (0.35),0.85 (0.18),0.59 (0.05),0.37 (0.05),0.26 (0.01),0.29 (0.01)
2e9,0.88,0.99 (0.66),0.66 (0.34),0.83 (0.17),0.61 (0.05),0.33 (0.06),0.39 (0.01),0.12 (0.01)
g10,0.88,0.99 (0.66),0.7 (0.34),0.86 (0.18),0.58 (0.05),0.45 (0.05),0.56 (0.01),0.18 (0.01)
e10,0.89,0.99 (0.66),0.69 (0.34),0.87 (0.17),0.58 (0.05),0.42 (0.05),0.59 (0.02),0.09 (0.01)
