Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.88,0.99 (0.68),0.66 (0.32),0.86 (0.16),0.6 (0.04),0.37 (0.05),0.32 (0.02),0.22 (0.01)
2e4,0.87,0.99 (0.65),0.65 (0.35),0.83 (0.17),0.58 (0.05),0.35 (0.05),0.44 (0.01),0.23 (0.01)
2g8,0.88,0.99 (0.64),0.68 (0.36),0.84 (0.18),0.6 (0.06),0.41 (0.05),0.4 (0.01),0.17 (0.01)
2e8,0.87,0.98 (0.65),0.65 (0.35),0.85 (0.16),0.6 (0.06),0.42 (0.05),0.44 (0.01),0.17 (0.01)
2g9,0.89,0.99 (0.67),0.69 (0.33),0.9 (0.17),0.53 (0.04),0.43 (0.05),0.59 (0.02),0.2 (0.01)
2e9,0.87,0.98 (0.65),0.66 (0.35),0.85 (0.17),0.54 (0.05),0.36 (0.05),0.5 (0.01),0.3 (0.01)
g10,0.89,0.99 (0.65),0.7 (0.35),0.88 (0.18),0.71 (0.05),0.35 (0.05),0.48 (0.02),0.0 (0.0)
e10,0.87,0.98 (0.63),0.67 (0.37),0.86 (0.18),0.57 (0.06),0.41 (0.06),0.36 (0.01),0.12 (0.01)
