Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.83,0.99 (0.55),0.63 (0.45),0.89 (0.19),0.56 (0.08),0.29 (0.07),0.24 (0.03),0.4 (0.01)
2e4,0.82,0.99 (0.55),0.62 (0.45),0.88 (0.19),0.57 (0.08),0.3 (0.07),0.25 (0.03),0.32 (0.01)
2g8,0.84,0.99 (0.56),0.64 (0.44),0.89 (0.18),0.61 (0.08),0.35 (0.07),0.28 (0.03),0.34 (0.01)
2e8,0.84,0.99 (0.56),0.65 (0.44),0.9 (0.18),0.58 (0.08),0.34 (0.07),0.31 (0.03),0.38 (0.01)
2g9,0.84,0.99 (0.55),0.66 (0.45),0.89 (0.19),0.63 (0.08),0.35 (0.07),0.31 (0.03),0.4 (0.01)
2e9,0.84,0.99 (0.55),0.64 (0.45),0.89 (0.19),0.61 (0.08),0.32 (0.07),0.29 (0.03),0.28 (0.01)
g10,0.84,0.99 (0.55),0.65 (0.45),0.89 (0.19),0.6 (0.08),0.37 (0.07),0.32 (0.03),0.36 (0.01)
e10,0.84,0.99 (0.56),0.65 (0.44),0.89 (0.19),0.59 (0.07),0.34 (0.07),0.31 (0.03),0.33 (0.01)
