Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.87,0.99 (0.62),0.67 (0.38),0.86 (0.18),0.62 (0.05),0.35 (0.06),0.36 (0.02),0.36 (0.01)
2e4,0.87,0.99 (0.63),0.66 (0.37),0.88 (0.19),0.63 (0.05),0.31 (0.05),0.27 (0.02),0.32 (0.01)
2g8,0.87,0.99 (0.63),0.66 (0.37),0.86 (0.18),0.56 (0.05),0.31 (0.06),0.41 (0.02),0.18 (0.01)
2e8,0.88,0.99 (0.63),0.69 (0.37),0.87 (0.19),0.58 (0.06),0.41 (0.05),0.39 (0.02),0.26 (0.01)
2g9,0.87,0.99 (0.63),0.67 (0.37),0.87 (0.18),0.6 (0.05),0.37 (0.06),0.46 (0.02),0.37 (0.01)
2e9,0.87,0.99 (0.63),0.68 (0.37),0.87 (0.18),0.62 (0.05),0.35 (0.06),0.38 (0.02),0.26 (0.01)
g10,0.88,0.99 (0.62),0.7 (0.38),0.88 (0.18),0.66 (0.06),0.41 (0.06),0.45 (0.02),0.2 (0.01)
e10,0.87,0.99 (0.63),0.67 (0.37),0.85 (0.18),0.58 (0.06),0.35 (0.06),0.44 (0.02),0.11 (0.01)
