Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.87,0.99 (0.64),0.66 (0.36),0.86 (0.19),0.54 (0.05),0.36 (0.05),0.14 (0.01),0.11 (0.01)
2e4,0.87,0.99 (0.65),0.64 (0.35),0.86 (0.17),0.53 (0.05),0.32 (0.05),0.39 (0.02),0.29 (0.01)
2g8,0.88,0.99 (0.65),0.67 (0.35),0.8 (0.17),0.59 (0.06),0.4 (0.05),0.57 (0.01),0.12 (0.01)
2e8,0.87,0.99 (0.64),0.65 (0.36),0.85 (0.18),0.62 (0.05),0.3 (0.05),0.46 (0.02),0.22 (0.01)
2g9,0.86,0.98 (0.63),0.66 (0.37),0.85 (0.19),0.59 (0.05),0.35 (0.06),0.48 (0.02),0.33 (0.0)
2e9,0.88,0.99 (0.66),0.67 (0.34),0.86 (0.18),0.52 (0.04),0.31 (0.06),0.58 (0.01),0.14 (0.0)
g10,0.88,0.99 (0.65),0.69 (0.35),0.87 (0.17),0.69 (0.06),0.31 (0.05),0.62 (0.01),0.29 (0.01)
e10,0.88,0.99 (0.66),0.69 (0.34),0.87 (0.17),0.68 (0.06),0.36 (0.05),0.59 (0.01),0.12 (0.01)
