Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.88,0.99 (0.65),0.68 (0.35),0.89 (0.18),0.53 (0.06),0.39 (0.05),0.27 (0.01),0.25 (0.01)
2e4,0.87,0.99 (0.66),0.63 (0.34),0.82 (0.16),0.59 (0.06),0.27 (0.05),0.37 (0.01),0.0 (0.01)
2g8,0.88,0.99 (0.64),0.69 (0.36),0.86 (0.18),0.69 (0.04),0.4 (0.05),0.39 (0.02),0.2 (0.01)
2e8,0.87,0.99 (0.63),0.66 (0.37),0.86 (0.18),0.58 (0.06),0.41 (0.05),0.42 (0.02),0.0 (0.01)
2g9,0.88,0.99 (0.65),0.67 (0.35),0.89 (0.18),0.48 (0.04),0.37 (0.05),0.28 (0.01),0.15 (0.01)
2e9,0.89,1.0 (0.63),0.7 (0.37),0.84 (0.19),0.51 (0.06),0.51 (0.06),0.47 (0.01),0.3 (0.01)
g10,0.89,0.99 (0.64),0.71 (0.36),0.87 (0.18),0.61 (0.05),0.4 (0.06),0.5 (0.01),0.25 (0.01)
e10,0.89,0.99 (0.66),0.68 (0.34),0.88 (0.16),0.63 (0.05),0.41 (0.05),0.6 (0.01),0.22 (0.01)
