Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.85,0.99 (0.6),0.64 (0.4),0.88 (0.19),0.59 (0.06),0.26 (0.06),0.23 (0.02),0.15 (0.01)
2e4,0.85,0.99 (0.6),0.64 (0.4),0.88 (0.19),0.58 (0.07),0.26 (0.06),0.27 (0.02),0.22 (0.01)
2g8,0.85,0.99 (0.59),0.66 (0.41),0.87 (0.19),0.6 (0.07),0.32 (0.06),0.32 (0.02),0.24 (0.01)
2e8,0.86,0.99 (0.59),0.67 (0.41),0.87 (0.19),0.61 (0.07),0.34 (0.06),0.35 (0.02),0.3 (0.01)
2g9,0.86,0.99 (0.6),0.66 (0.4),0.87 (0.18),0.62 (0.07),0.33 (0.06),0.35 (0.02),0.24 (0.01)
2e9,0.86,0.99 (0.59),0.67 (0.41),0.88 (0.19),0.6 (0.06),0.3 (0.06),0.35 (0.02),0.36 (0.01)
g10,0.86,0.99 (0.59),0.67 (0.41),0.88 (0.19),0.59 (0.06),0.37 (0.06),0.35 (0.02),0.35 (0.01)
e10,0.86,0.99 (0.6),0.67 (0.4),0.87 (0.18),0.6 (0.07),0.38 (0.06),0.34 (0.02),0.34 (0.01)
