Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
2g4,0.86,0.99 (0.62),0.65 (0.38),0.87 (0.18),0.55 (0.06),0.32 (0.06),0.3 (0.02),0.33 (0.01)
2e4,0.87,0.99 (0.63),0.66 (0.37),0.86 (0.18),0.58 (0.06),0.34 (0.05),0.3 (0.02),0.32 (0.01)
2g8,0.87,0.99 (0.62),0.66 (0.38),0.86 (0.19),0.6 (0.05),0.32 (0.06),0.44 (0.02),0.3 (0.01)
2e8,0.87,0.99 (0.63),0.68 (0.37),0.86 (0.19),0.54 (0.06),0.4 (0.05),0.4 (0.02),0.26 (0.01)
2g9,0.87,0.99 (0.62),0.68 (0.38),0.87 (0.19),0.65 (0.06),0.36 (0.05),0.29 (0.01),0.25 (0.01)
2e9,0.88,0.99 (0.63),0.7 (0.37),0.86 (0.19),0.66 (0.06),0.41 (0.05),0.38 (0.02),0.29 (0.01)
g10,0.88,0.99 (0.63),0.69 (0.37),0.86 (0.18),0.65 (0.05),0.38 (0.06),0.5 (0.01),0.21 (0.01)
e10,0.87,0.99 (0.62),0.67 (0.38),0.87 (0.18),0.56 (0.05),0.37 (0.06),0.44 (0.02),0.21 (0.01)
