pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.86,0.99,0.91,0.92,0.73,0.41,0.54
10,0.87,0.99,0.85,0.93,0.89,0.5,0.55
25,0.85,0.99,0.85,0.88,0.85,0.78,0.67
40,0.84,0.99,0.88,0.86,0.87,0.77,0.71
50,0.83,0.99,0.91,0.88,0.83,0.77,0.66
