pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.84,0.98,0.93,0.83,0.8,0.67,0.3
10,0.79,0.94,0.96,0.81,0.82,0.69,0.81
25,0.8,0.97,0.97,0.84,0.81,0.83,0.64
40,0.77,0.95,0.97,0.88,0.82,0.78,0.64
50,0.79,0.95,0.97,0.92,0.86,0.91,0.9
