Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.83,0.98,0.97,0.94,0.8,0.87,0.52
svm,0.84,0.95,0.96,0.99,0.62,0.8,0.75
knn,0.79,0.94,0.96,0.81,0.82,0.69,0.81
mlp_sklearn,0.78,0.98,0.95,0.9,0.82,0.75,0.39
rand_for,0.71,0.78,0.82,0.81,0.62,0.48,0.6
dec_tree,0.82,0.98,0.92,0.93,0.81,0.67,0.15
ber_nb,0.74,0.83,0.88,0.75,0.73,0.76,0.72
xtra_tree,0.86,0.96,1.0,0.9,0.84,0.87,0.52
gau_nb,0.75,0.94,0.92,0.75,0.69,0.51,0.68
label_prop,0.72,0.81,0.86,0.81,0.57,0.63,0.33
label_spread,0.68,0.75,0.84,0.71,0.71,0.67,0.4
lda,0.74,0.93,0.87,0.89,0.7,0.42,0.2
ridge_cv,0.82,0.99,0.98,1.0,0.66,0.7,0.45
n_cent,0.7,0.71,0.91,0.78,0.8,0.66,0.5
ridge,0.84,0.98,0.94,0.99,0.73,0.8,0.43
