pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.72,0.0,0.93,0.89,0.65,0.47,0.4
10,0.66,0.0,0.92,0.87,0.87,0.7,0.37
25,0.65,0.0,0.97,0.91,0.81,0.67,0.63
40,0.63,0.0,0.97,0.9,0.8,0.81,0.62
50,0.6,0.0,0.92,0.86,0.81,0.77,0.61
