pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.72,0.0,0.92,0.95,0.61,0.7,0.25
10,0.69,0.0,0.91,0.89,0.75,0.75,0.63
25,0.62,0.0,0.89,0.83,0.65,0.85,0.54
40,0.58,0.0,0.92,0.8,0.65,0.87,0.53
50,0.54,0.0,0.88,0.81,0.65,0.68,0.66
