pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.84,0.98,0.9,0.87,0.77,0.25,0.31
10,0.83,0.97,0.79,0.81,0.86,0.51,0.59
25,0.84,0.98,0.87,0.87,0.78,0.74,0.48
40,0.82,0.99,0.9,0.83,0.81,0.67,0.57
50,0.82,0.99,0.87,0.84,0.8,0.64,0.59
