pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.83,0.95,0.98,0.75,0.62,0.35,0.45
10,0.83,0.98,0.97,0.94,0.8,0.87,0.52
25,0.82,0.97,0.98,0.98,0.91,0.82,0.69
40,0.81,0.96,1.0,0.97,0.9,0.88,0.75
50,0.75,0.95,0.98,0.93,0.89,0.88,0.84
