pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.79,0.94,0.57,0.78,0.75,0.46,0.31
10,0.78,0.91,0.62,0.71,0.71,0.43,0.49
25,0.77,0.92,0.66,0.72,0.65,0.44,0.46
40,0.76,0.93,0.69,0.68,0.66,0.55,0.5
50,0.76,0.94,0.74,0.69,0.65,0.5,0.55
