pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.78,0.93,0.77,0.59,0.76,0.22,0.47
10,0.8,0.93,0.83,0.75,0.8,0.45,0.52
25,0.81,0.96,0.85,0.81,0.78,0.78,0.49
40,0.8,0.96,0.85,0.82,0.76,0.65,0.55
50,0.78,0.96,0.85,0.78,0.75,0.57,0.52
