pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.72,0.87,0.95,0.38,0.85,0.5,0.25
10,0.75,0.94,0.92,0.75,0.69,0.51,0.68
25,0.71,0.94,0.93,0.84,0.7,0.6,0.62
40,0.67,0.91,0.87,0.82,0.71,0.71,0.67
50,0.64,0.89,0.87,0.8,0.69,0.69,0.63
