pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.86,0.98,0.78,0.87,0.9,0.75,0.53
10,0.86,0.99,0.85,0.91,0.94,0.47,0.54
25,0.85,0.98,0.88,0.91,0.86,0.72,0.66
40,0.85,0.99,0.87,0.89,0.87,0.73,0.68
50,0.84,0.99,0.91,0.88,0.87,0.72,0.76
