pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.82,0.97,0.81,0.81,0.75,0.28,0.33
10,0.83,0.96,0.83,0.85,0.73,0.57,0.64
25,0.8,0.94,0.84,0.85,0.79,0.57,0.51
40,0.8,0.95,0.81,0.81,0.79,0.64,0.64
50,0.8,0.96,0.82,0.82,0.81,0.65,0.69
