Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5,Bucket 6,Bucket 7,Bucket 8,Bucket 9,Bucket 10,Bucket 11,Bucket 12,Bucket 13,Bucket 14,Bucket 15
lr,0.81,0.98,0.83,0.8,0.87,0.95,0.88,0.78,0.64,0.86,0.47,0.53,0.08,0.21,0.19,0.26,0.0
svm,0.82,0.98,0.83,0.83,0.89,0.96,0.91,0.78,0.7,0.71,0.47,0.37,0.17,0.37,0.24,0.17,0.0
knn,0.82,0.98,0.86,0.8,0.87,0.94,0.92,0.84,0.67,0.75,0.53,0.58,0.42,0.37,0.19,0.17,0.0
mlp_sklearn,0.8,0.98,0.83,0.8,0.87,0.96,0.89,0.76,0.64,0.64,0.4,0.37,0.33,0.05,0.14,0.26,0.0
rand_for,0.78,0.9,0.86,0.89,0.89,0.93,0.91,0.81,0.68,0.81,0.44,0.47,0.35,0.39,0.35,0.19,0.07
dec_tree,0.81,0.98,0.83,0.8,0.89,0.94,0.91,0.78,0.67,0.64,0.33,0.26,0.08,0.26,0.14,0.17,0.14
ber_nb,0.79,0.91,0.83,0.89,0.89,0.96,0.91,0.84,0.73,0.75,0.53,0.58,0.42,0.42,0.38,0.17,0.0
xtra_tree,0.83,0.98,0.83,0.89,0.89,0.96,0.91,0.78,0.7,0.89,0.53,0.74,0.25,0.47,0.29,0.26,0.14
gau_nb,0.78,0.96,0.81,0.66,0.74,0.92,0.86,0.78,0.21,0.82,0.2,0.42,0.25,0.32,0.33,0.17,0.0
label_prop,0.77,0.89,0.86,0.89,0.89,0.93,0.92,0.84,0.67,0.75,0.53,0.58,0.42,0.32,0.14,0.22,0.0
label_spread,0.77,0.87,0.83,0.89,0.89,0.93,0.92,0.84,0.67,0.75,0.53,0.58,0.42,0.32,0.14,0.22,0.07
lda,0.77,0.98,0.83,0.86,0.85,0.94,0.89,0.69,0.12,0.29,0.13,0.21,0.17,0.05,0.1,0.09,0.0
ridge_cv,0.81,0.97,0.83,0.89,0.89,0.96,0.91,0.78,0.67,0.68,0.47,0.37,0.25,0.32,0.19,0.0,0.0
n_cent,0.71,0.82,0.61,0.43,0.79,0.94,0.85,0.76,0.61,0.71,0.53,0.58,0.42,0.26,0.38,0.22,0.0
ridge,0.81,0.98,0.83,0.83,0.89,0.96,0.91,0.78,0.7,0.68,0.47,0.37,0.17,0.53,0.1,0.04,0.0
