Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.75,0.95,0.98,0.93,0.89,0.88,0.84
svm,0.78,0.96,0.98,0.95,0.91,0.93,0.87
knn,0.79,0.95,0.97,0.92,0.86,0.91,0.9
mlp_sklearn,0.72,0.92,0.96,0.9,0.8,0.83,0.78
rand_for,0.7,0.85,0.86,0.84,0.8,0.79,0.78
dec_tree,0.75,0.96,0.95,0.93,0.81,0.81,0.66
ber_nb,0.64,0.78,0.81,0.78,0.74,0.71,0.72
xtra_tree,0.8,0.94,0.97,0.98,0.91,0.93,0.91
gau_nb,0.64,0.89,0.87,0.8,0.69,0.69,0.63
label_prop,0.63,0.72,0.77,0.75,0.77,0.75,0.67
label_spread,0.62,0.78,0.73,0.75,0.75,0.67,0.7
lda,0.69,0.93,0.92,0.88,0.79,0.79,0.53
ridge_cv,0.79,0.96,0.97,0.97,0.9,0.92,0.83
n_cent,0.68,0.77,0.87,0.78,0.87,0.71,0.7
ridge,0.77,0.96,0.97,0.97,0.89,0.93,0.7
