pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.79,0.0,0.97,0.91,0.8,0.8,0.25
10,0.8,0.0,0.97,0.92,0.92,0.9,0.72
25,0.77,0.0,0.95,0.95,0.91,0.9,0.8
40,0.71,0.0,0.98,0.96,0.88,0.94,0.69
50,0.71,0.0,0.97,0.97,0.89,0.94,0.73
