pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.86,1.0,0.85,0.9,0.77,0.5,0.3
10,0.82,0.98,0.92,0.93,0.81,0.67,0.15
25,0.8,0.97,0.96,0.95,0.88,0.94,0.67
40,0.77,0.95,0.96,0.91,0.84,0.92,0.75
50,0.75,0.96,0.95,0.93,0.81,0.81,0.66
