Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.82,0.97,0.98,0.98,0.91,0.82,0.69
svm,0.84,0.96,0.99,0.97,0.9,1.0,0.8
knn,0.8,0.97,0.97,0.84,0.81,0.83,0.64
mlp_sklearn,0.78,0.95,0.96,0.92,0.81,0.85,0.69
rand_for,0.7,0.82,0.83,0.74,0.79,0.57,0.67
dec_tree,0.8,0.97,0.96,0.95,0.88,0.94,0.67
ber_nb,0.73,0.84,0.86,0.85,0.85,0.65,0.62
xtra_tree,0.86,0.97,0.99,0.97,0.92,0.99,0.82
gau_nb,0.71,0.94,0.93,0.84,0.7,0.6,0.62
label_prop,0.7,0.78,0.78,0.86,0.83,0.67,0.61
label_spread,0.67,0.74,0.8,0.72,0.77,0.76,0.6
lda,0.7,0.9,0.87,0.82,0.72,0.77,0.4
ridge_cv,0.85,0.97,0.98,0.98,0.92,0.91,0.77
n_cent,0.69,0.75,0.81,0.83,0.78,0.66,0.59
ridge,0.82,0.97,0.97,0.98,0.9,0.94,0.63
