Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.83,0.95,0.98,0.75,0.62,0.35,0.45
svm,0.87,0.97,1.0,1.0,0.55,0.7,0.25
knn,0.84,0.98,0.93,0.83,0.8,0.67,0.3
mlp_sklearn,0.75,0.83,0.9,0.75,0.5,0.2,0.3
rand_for,0.75,0.84,0.81,0.68,0.57,0.23,0.4
dec_tree,0.86,1.0,0.85,0.9,0.77,0.5,0.3
ber_nb,0.77,0.92,0.86,0.79,0.6,0.55,0.25
xtra_tree,0.86,0.95,1.0,0.98,0.5,0.7,0.5
gau_nb,0.72,0.87,0.95,0.38,0.85,0.5,0.25
label_prop,0.71,0.83,0.89,0.77,0.4,0.45,0.58
label_spread,0.7,0.76,0.82,0.67,0.37,0.47,0.15
lda,0.81,0.89,0.95,0.8,0.4,0.67,0.2
ridge_cv,0.88,0.95,0.98,1.0,0.7,0.6,0.5
n_cent,0.74,0.79,0.92,0.74,0.5,0.45,0.25
ridge,0.86,0.99,0.96,1.0,0.45,0.5,0.3
