Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.82,0.99,0.88,0.82,0.81,0.66,0.59
svm,0.84,0.99,0.89,0.88,0.88,0.69,0.63
knn,0.84,0.98,0.87,0.86,0.83,0.67,0.67
mlp_sklearn,0.82,0.99,0.9,0.83,0.81,0.67,0.57
rand_for,0.76,0.93,0.69,0.68,0.66,0.55,0.5
dec_tree,0.82,0.99,0.89,0.82,0.76,0.69,0.58
ber_nb,0.81,0.94,0.8,0.77,0.81,0.6,0.71
xtra_tree,0.86,0.99,0.9,0.88,0.85,0.68,0.71
gau_nb,0.8,0.96,0.85,0.82,0.76,0.65,0.55
label_prop,0.8,0.95,0.81,0.81,0.79,0.64,0.64
label_spread,0.8,0.95,0.79,0.8,0.81,0.59,0.57
lda,0.76,0.98,0.82,0.74,0.6,0.4,0.35
ridge_cv,0.85,0.99,0.87,0.89,0.87,0.73,0.68
n_cent,0.78,0.94,0.78,0.76,0.7,0.64,0.59
ridge,0.84,0.99,0.88,0.86,0.87,0.77,0.71
