Algo,Flavor,Overall,Bucket 0(0.688),Bucket 1(0.086),Bucket 2(0.052),Bucket 3(0.046),Bucket 4(0.018),Bucket 5(0.031),Bucket 6(0.015),Bucket 7(0.015),Bucket 8(0.009),Bucket 9(0.009),Bucket 10(0.012),Bucket 11(0.019),Bucket 12(0.017),Bucket 13(0.012),Bucket 14(0.012),Bucket 15(0.009)
lr,def,0.84,0.99,0.82,0.68,0.77,0.56,0.69,0.57,0.35,0.52,0.41,0.05,0.21,0.02,0.37,0.1,0.35
svm,def,0.84,0.98,0.83,0.88,0.7,0.62,0.42,0.59,0.27,0.48,0.57,0.2,0.16,0.08,0.33,0.1,0.05
knn,def,0.86,0.99,0.87,0.78,0.87,0.55,0.81,0.26,0.25,0.56,0.36,0.24,0.38,0.32,0.3,0.16,0.11
mlp_sklearn,def,0.83,0.97,0.8,0.85,0.84,0.54,0.58,0.53,0.23,0.27,0.46,0.2,0.23,0.06,0.31,0.13,0.27
rand_for,def,0.75,0.91,0.62,0.65,0.6,0.21,0.52,0.33,0.2,0.16,0.25,0.35,0.21,0.47,0.5,0.17,0.37
dec_tree,def,0.84,0.98,0.88,0.77,0.74,0.65,0.5,0.35,0.53,0.32,0.25,0.08,0.19,0.13,0.22,0.1,0.42
ber_nb,def,0.82,0.94,0.81,0.81,0.81,0.42,0.37,0.85,0.2,0.4,0.17,0.15,0.21,0.34,0.48,0.12,0.55
xtra_tree,def,0.88,0.99,0.91,0.84,0.88,0.74,0.57,0.45,0.67,0.47,0.51,0.4,0.42,0.35,0.37,0.45,0.64
gau_nb,def,0.8,0.95,0.85,0.75,0.74,0.44,0.6,0.42,0.44,0.25,0.4,0.08,0.21,0.13,0.03,0.05,0.08
label_prop,def,0.84,0.96,0.77,0.81,0.91,0.67,0.46,0.55,0.48,0.62,0.27,0.45,0.2,0.05,0.61,0.34,0.18
label_spread,def,0.82,0.94,0.85,0.72,0.85,0.45,0.53,0.57,0.45,0.69,0.37,0.52,0.22,0.16,0.52,0.0,0.18
lda,def,0.82,0.98,0.92,0.78,0.85,0.53,0.51,0.58,0.39,0.22,0.03,0.2,0.15,0.05,0.2,0.05,0.18
ridge_cv,def,0.86,0.99,0.88,0.88,0.88,0.52,0.72,0.43,0.79,0.55,0.37,0.2,0.23,0.22,0.13,0.12,0.33
n_cent,def,0.79,0.94,0.76,0.74,0.62,0.49,0.44,0.53,0.2,0.36,0.71,0.2,0.05,0.02,0.35,0.14,0.22
ridge,def,0.84,0.99,0.77,0.84,0.82,0.65,0.52,0.62,0.49,0.52,0.32,0.34,0.16,0.15,0.12,0.23,0.13
lr,def,0.84,0.99,0.89,0.8,0.87,0.4,0.52,0.7,0.18,0.46,0.16,0.02,0.0,0.17,0.17,0.13,0.28
lr,.3,0.84,0.98,0.86,0.77,0.84,0.68,0.36,0.29,0.5,0.55,0.25,0.2,0.07,0.08,0.3,0.08,0.31
lr,.1,0.85,0.99,0.89,0.75,0.77,0.57,0.39,0.42,0.32,0.51,0.22,0.15,0.03,0.02,0.22,0.1,0.08
lr,.03,0.85,0.98,0.86,0.77,0.88,0.73,0.56,0.4,0.31,0.35,0.63,0.15,0.2,0.05,0.2,0.08,0.5
lr,.01,0.83,0.98,0.88,0.8,0.86,0.57,0.6,0.46,0.37,0.26,0.36,0.35,0.1,0.07,0.32,0.22,0.15
lr,3e-3,0.86,0.99,0.88,0.88,0.79,0.37,0.72,0.46,0.42,0.38,0.41,0.15,0.0,0.12,0.22,0.15,0.18
lr,1e-3,0.85,0.98,0.85,0.82,0.83,0.55,0.51,0.4,0.22,0.47,0.42,0.4,0.1,0.27,0.27,0.3,0.31
lr,3e-4,0.85,0.98,0.85,0.86,0.78,0.77,0.43,0.25,0.33,0.64,0.39,0.03,0.33,0.24,0.44,0.22,0.47
lr,1e-4,0.84,0.97,0.83,0.8,0.84,0.47,0.58,0.48,0.31,0.64,0.53,0.25,0.31,0.27,0.23,0.3,0.62
lr,3e-5,0.81,0.93,0.78,0.87,0.64,0.55,0.57,0.41,0.28,0.49,0.42,0.33,0.1,0.4,0.42,0.23,0.35
lr,1e-5,0.78,0.92,0.68,0.77,0.71,0.43,0.57,0.59,0.34,0.3,0.52,0.31,0.29,0.21,0.2,0.15,0.42
lr,3e-6,0.7,0.88,0.49,0.44,0.53,0.37,0.56,0.45,0.28,0.18,0.3,0.4,0.16,0.06,0.45,0.1,0.45
lr,1e-6,0.57,0.76,0.25,0.24,0.22,0.11,0.18,0.05,0.19,0.0,0.17,0.23,0.18,0.04,0.05,0.17,0.25
xtra_tree,2g4,0.88,0.99,0.94,0.84,0.9,0.72,0.52,0.92,0.62,0.41,0.58,0.37,0.44,0.24,0.57,0.2,0.55
xtra_tree,2e4,0.87,0.99,0.83,0.91,0.86,0.33,0.64,0.52,0.56,0.2,0.37,0.22,0.28,0.5,0.48,0.28,0.32
xtra_tree,2g8,0.89,0.98,0.94,0.87,0.92,0.37,0.61,0.7,0.71,0.38,0.57,0.66,0.37,0.37,0.38,0.47,0.59
xtra_tree,2e8,0.88,0.99,0.87,0.89,0.82,0.69,0.59,0.35,0.52,0.38,0.14,0.4,0.39,0.38,0.53,0.32,0.52
xtra_tree,2g9,0.88,0.99,0.86,0.81,0.89,0.51,0.63,0.6,0.71,0.46,0.58,0.39,0.29,0.45,0.44,0.3,0.39
xtra_tree,2e9,0.9,0.98,0.92,0.89,0.89,0.72,0.63,0.49,0.57,0.82,0.58,0.21,0.28,0.42,0.34,0.37,0.5
xtra_tree,g10,0.88,0.99,0.89,0.87,0.77,0.67,0.56,0.55,0.44,0.53,0.42,0.07,0.32,0.4,0.43,0.1,0.72
xtra_tree,e10,0.89,0.98,0.91,0.89,0.86,0.75,0.7,0.5,0.45,0.27,0.42,0.06,0.33,0.12,0.69,0.1,0.35
xtra_tree,g11,0.88,0.98,0.85,0.95,0.85,0.6,0.64,0.6,0.69,0.7,0.52,0.48,0.51,0.44,0.37,0.33,0.75
xtra_tree,e11,0.89,0.99,0.91,0.87,0.88,0.5,0.51,0.62,0.58,0.42,0.63,0.16,0.18,0.43,0.48,0.4,0.66
xtra_tree,g12,0.88,0.99,0.91,0.84,0.95,0.79,0.72,0.5,0.61,0.6,0.42,0.25,0.2,0.23,0.27,0.28,0.4
xtra_tree,e12,0.87,0.99,0.9,0.77,0.91,0.63,0.59,0.35,0.45,0.45,0.38,0.32,0.18,0.37,0.55,0.35,0.6
