Algo,Flavor,Overall,Bucket 0(0.619),Bucket 1(0.074),Bucket 2(0.037),Bucket 3(0.047),Bucket 4(0.019),Bucket 5(0.023),Bucket 6(0.009),Bucket 7(0.013),Bucket 8(0.011),Bucket 9(0.011),Bucket 10(0.009),Bucket 11(0.01),Bucket 12(0.018),Bucket 13(0.011),Bucket 14(0.01),Bucket 15(0.01)
lr,def,0.65,0.87,0.37,0.33,0.43,0.29,0.21,0.12,0.13,0.16,0.18,0.19,0.35,0.16,0.2,0.13,0.23
svm,def,0.71,0.89,0.59,0.51,0.59,0.49,0.4,0.22,0.22,0.18,0.23,0.11,0.2,0.19,0.27,0.04,0.13
knn,def,0.62,0.84,0.36,0.29,0.37,0.28,0.2,0.17,0.18,0.11,0.1,0.25,0.12,0.11,0.27,0.07,0.13
mlp_sklearn,def,0.61,0.82,0.32,0.31,0.36,0.23,0.16,0.17,0.21,0.03,0.1,0.15,0.23,0.13,0.18,0.09,0.12
rand_for,def,0.58,0.8,0.32,0.26,0.34,0.12,0.25,0.12,0.25,0.13,0.13,0.21,0.12,0.1,0.22,0.05,0.1
dec_tree,def,0.61,0.83,0.39,0.31,0.36,0.19,0.25,0.13,0.18,0.06,0.12,0.14,0.14,0.07,0.2,0.08,0.09
ber_nb,def,0.57,0.77,0.34,0.23,0.25,0.16,0.24,0.1,0.18,0.12,0.08,0.21,0.21,0.09,0.16,0.09,0.12
xtra_tree,def,0.64,0.86,0.42,0.37,0.4,0.14,0.17,0.22,0.18,0.04,0.2,0.19,0.18,0.16,0.32,0.11,0.33
gau_nb,def,0.32,0.38,0.34,0.33,0.31,0.14,0.22,0.04,0.14,0.07,0.23,0.12,0.03,0.07,0.17,0.05,0.12
label_prop,def,0.59,0.82,0.35,0.27,0.25,0.14,0.12,0.11,0.16,0.11,0.1,0.12,0.17,0.08,0.18,0.1,0.23
label_spread,def,0.59,0.82,0.34,0.32,0.29,0.12,0.2,0.09,0.21,0.13,0.04,0.12,0.27,0.1,0.22,0.07,0.26
lda,def,0.72,0.91,0.65,0.65,0.6,0.42,0.39,0.46,0.25,0.15,0.1,0.2,0.07,0.16,0.32,0.23,0.15
ridge_cv,def,0.62,0.85,0.34,0.24,0.28,0.24,0.24,0.11,0.15,0.06,0.09,0.11,0.23,0.08,0.29,0.06,0.11
n_cent,def,0.3,0.38,0.29,0.29,0.21,0.12,0.14,0.0,0.12,0.03,0.06,0.13,0.05,0.02,0.16,0.0,0.05
ridge,def,0.67,0.89,0.57,0.41,0.47,0.26,0.29,0.1,0.23,0.18,0.12,0.15,0.25,0.12,0.21,0.06,0.12
lr,def,0.63,0.86,0.39,0.38,0.39,0.31,0.29,0.08,0.1,0.09,0.18,0.08,0.25,0.21,0.25,0.05,0.13
lr,.3,0.61,0.83,0.33,0.27,0.28,0.2,0.23,0.19,0.24,0.05,0.12,0.15,0.31,0.12,0.16,0.09,0.19
lr,.1,0.58,0.8,0.34,0.24,0.27,0.14,0.25,0.04,0.23,0.01,0.16,0.14,0.23,0.07,0.2,0.04,0.16
lr,.03,0.58,0.8,0.3,0.28,0.26,0.2,0.29,0.12,0.27,0.08,0.1,0.22,0.22,0.03,0.12,0.03,0.14
lr,.01,0.58,0.8,0.31,0.17,0.26,0.22,0.25,0.07,0.28,0.03,0.13,0.12,0.2,0.07,0.18,0.06,0.19
lr,3e-3,0.58,0.8,0.32,0.22,0.3,0.16,0.2,0.14,0.25,0.17,0.22,0.16,0.21,0.05,0.28,0.21,0.08
lr,1e-3,0.58,0.8,0.27,0.21,0.24,0.1,0.26,0.18,0.22,0.08,0.11,0.2,0.28,0.1,0.18,0.01,0.14
lr,3e-4,0.58,0.79,0.33,0.21,0.24,0.21,0.32,0.22,0.23,0.04,0.09,0.07,0.17,0.08,0.17,0.0,0.12
lr,1e-4,0.58,0.8,0.3,0.27,0.21,0.21,0.28,0.19,0.2,0.19,0.09,0.19,0.21,0.05,0.24,0.05,0.11
lr,3e-5,0.58,0.8,0.31,0.25,0.25,0.14,0.2,0.11,0.21,0.06,0.06,0.15,0.24,0.02,0.22,0.03,0.09
lr,1e-5,0.58,0.8,0.31,0.26,0.24,0.17,0.23,0.13,0.26,0.06,0.18,0.21,0.11,0.09,0.17,0.1,0.0
lr,3e-6,0.58,0.8,0.33,0.21,0.26,0.23,0.17,0.1,0.29,0.07,0.15,0.21,0.18,0.07,0.14,0.06,0.05
lr,1e-6,0.4,0.58,0.11,0.05,0.26,0.05,0.15,0.08,0.18,0.03,0.13,0.12,0.25,0.08,0.08,0.08,0.1
