Algo,Flavor,Overall,Bucket 0(0.614),Bucket 1(0.064),Bucket 2(0.045),Bucket 3(0.039),Bucket 4(0.016),Bucket 5(0.029),Bucket 6(0.011),Bucket 7(0.013),Bucket 8(0.009),Bucket 9(0.008),Bucket 10(0.008),Bucket 11(0.013),Bucket 12(0.014),Bucket 13(0.012),Bucket 14(0.01),Bucket 15(0.011)
lr,def,0.8,0.98,0.86,0.79,0.73,0.56,0.59,0.64,0.43,0.37,0.33,0.33,0.27,0.26,0.22,0.09,0.32
svm,def,0.82,0.99,0.88,0.83,0.8,0.64,0.56,0.67,0.54,0.45,0.33,0.31,0.29,0.3,0.24,0.09,0.2
knn,def,0.78,0.98,0.81,0.79,0.71,0.54,0.54,0.48,0.3,0.32,0.22,0.31,0.26,0.08,0.16,0.11,0.19
mlp_sklearn,def,0.81,0.99,0.87,0.79,0.77,0.58,0.57,0.55,0.43,0.37,0.4,0.37,0.24,0.25,0.18,0.18,0.19
rand_for,def,0.69,0.93,0.55,0.55,0.47,0.34,0.31,0.27,0.31,0.16,0.27,0.11,0.23,0.18,0.32,0.1,0.3
dec_tree,def,0.71,0.96,0.65,0.54,0.53,0.38,0.31,0.29,0.29,0.21,0.13,0.11,0.14,0.11,0.12,0.09,0.17
ber_nb,def,0.57,0.82,0.3,0.27,0.29,0.19,0.3,0.19,0.18,0.06,0.1,0.14,0.23,0.08,0.07,0.07,0.18
xtra_tree,def,0.82,0.99,0.88,0.86,0.77,0.63,0.49,0.56,0.37,0.32,0.3,0.35,0.21,0.35,0.34,0.19,0.5
gau_nb,def,0.75,0.95,0.71,0.71,0.59,0.48,0.45,0.47,0.36,0.28,0.22,0.12,0.1,0.25,0.14,0.13,0.24
label_prop,def,0.75,0.95,0.75,0.73,0.66,0.48,0.51,0.61,0.34,0.17,0.3,0.17,0.24,0.15,0.13,0.18,0.23
label_spread,def,0.74,0.94,0.75,0.7,0.65,0.52,0.51,0.46,0.31,0.34,0.22,0.22,0.23,0.08,0.14,0.1,0.3
lda,def,0.78,0.99,0.85,0.81,0.69,0.51,0.46,0.44,0.36,0.34,0.22,0.3,0.18,0.14,0.13,0.16,0.13
ridge_cv,def,0.82,0.98,0.9,0.85,0.83,0.61,0.64,0.61,0.57,0.56,0.28,0.28,0.27,0.29,0.29,0.16,0.3
n_cent,def,0.71,0.9,0.8,0.7,0.62,0.52,0.47,0.44,0.31,0.27,0.23,0.15,0.18,0.16,0.04,0.06,0.07
ridge,def,0.83,0.98,0.86,0.88,0.81,0.63,0.65,0.69,0.51,0.47,0.46,0.31,0.24,0.27,0.32,0.14,0.33
lr,def,0.81,0.98,0.87,0.82,0.74,0.62,0.56,0.65,0.46,0.46,0.38,0.32,0.23,0.3,0.3,0.09,0.46
lr,.3,0.79,0.96,0.82,0.75,0.7,0.55,0.62,0.55,0.44,0.33,0.32,0.4,0.23,0.31,0.21,0.15,0.4
lr,.1,0.74,0.94,0.67,0.65,0.58,0.39,0.45,0.43,0.34,0.21,0.34,0.27,0.26,0.28,0.32,0.08,0.46
lr,.03,0.65,0.89,0.49,0.42,0.35,0.2,0.3,0.28,0.19,0.18,0.16,0.25,0.27,0.2,0.19,0.07,0.32
lr,.01,0.59,0.83,0.34,0.28,0.32,0.2,0.28,0.17,0.13,0.04,0.1,0.23,0.22,0.08,0.08,0.07,0.17
lr,3e-3,0.56,0.82,0.35,0.24,0.24,0.18,0.24,0.13,0.19,0.05,0.06,0.15,0.22,0.06,0.07,0.04,0.09
lr,1e-3,0.55,0.81,0.34,0.21,0.25,0.13,0.25,0.13,0.17,0.03,0.09,0.13,0.2,0.04,0.08,0.09,0.09
lr,3e-4,0.41,0.6,0.15,0.09,0.21,0.09,0.17,0.12,0.12,0.01,0.12,0.06,0.16,0.05,0.04,0.04,0.14
lr,1e-4,0.4,0.59,0.16,0.11,0.23,0.11,0.14,0.12,0.1,0.04,0.09,0.09,0.16,0.07,0.07,0.08,0.12
lr,3e-5,0.42,0.61,0.14,0.08,0.19,0.11,0.24,0.16,0.09,0.04,0.12,0.19,0.23,0.05,0.05,0.12,0.12
lr,1e-5,0.41,0.61,0.14,0.1,0.22,0.11,0.11,0.11,0.13,0.05,0.1,0.07,0.22,0.04,0.09,0.06,0.07
lr,3e-6,0.4,0.6,0.13,0.12,0.19,0.1,0.18,0.12,0.12,0.02,0.06,0.13,0.2,0.07,0.06,0.02,0.11
lr,1e-6,0.41,0.6,0.13,0.08,0.21,0.09,0.22,0.23,0.13,0.03,0.09,0.08,0.23,0.04,0.07,0.01,0.08
xtra_tree,2g4,0.8,0.98,0.85,0.77,0.72,0.43,0.5,0.48,0.37,0.31,0.31,0.24,0.24,0.23,0.18,0.09,0.45
xtra_tree,2e4,0.8,0.98,0.87,0.8,0.72,0.46,0.48,0.51,0.35,0.26,0.28,0.22,0.27,0.23,0.22,0.22,0.35
xtra_tree,2g8,0.82,0.99,0.89,0.87,0.79,0.59,0.56,0.56,0.39,0.28,0.32,0.37,0.24,0.33,0.34,0.2,0.49
xtra_tree,2e8,0.82,0.99,0.91,0.88,0.81,0.6,0.59,0.52,0.53,0.37,0.39,0.3,0.31,0.26,0.36,0.17,0.46
xtra_tree,2g9,0.83,0.99,0.91,0.89,0.79,0.7,0.58,0.61,0.47,0.45,0.36,0.31,0.29,0.33,0.31,0.21,0.54
xtra_tree,2e9,0.83,0.99,0.89,0.88,0.81,0.59,0.55,0.57,0.46,0.35,0.38,0.34,0.29,0.28,0.3,0.19,0.48
xtra_tree,g10,0.83,0.99,0.91,0.89,0.83,0.59,0.6,0.53,0.48,0.29,0.39,0.28,0.29,0.32,0.3,0.25,0.51
xtra_tree,e10,0.83,0.99,0.91,0.88,0.83,0.71,0.59,0.58,0.42,0.38,0.31,0.35,0.24,0.3,0.35,0.14,0.52
xtra_tree,g11,0.83,0.99,0.9,0.89,0.82,0.58,0.58,0.59,0.46,0.32,0.37,0.28,0.28,0.37,0.38,0.19,0.49
xtra_tree,e11,0.82,0.99,0.86,0.89,0.8,0.62,0.55,0.55,0.41,0.37,0.45,0.3,0.33,0.27,0.28,0.12,0.48
xtra_tree,g12,0.83,0.99,0.9,0.86,0.8,0.63,0.54,0.65,0.47,0.42,0.46,0.33,0.3,0.37,0.29,0.23,0.45
xtra_tree,e12,0.83,0.99,0.9,0.86,0.83,0.58,0.55,0.54,0.45,0.31,0.26,0.28,0.27,0.32,0.31,0.21,0.47
