Algo,Flavor,Overall,Bucket 0(0.669),Bucket 1(0.088),Bucket 2(0.051),Bucket 3(0.052),Bucket 4(0.014),Bucket 5(0.033),Bucket 6(0.02),Bucket 7(0.02),Bucket 8(0.012),Bucket 9(0.02),Bucket 10(0.018),Bucket 11(0.02),Bucket 12(0.015),Bucket 13(0.01),Bucket 14(0.009),Bucket 15(0.009)
lr,def,0.82,0.99,0.82,0.8,0.8,0.66,0.52,0.37,0.35,0.65,0.32,0.13,0.0,0.0,0.23,0.25,0.17
svm,def,0.86,0.99,0.84,0.81,0.88,0.72,0.68,0.45,0.6,0.49,0.23,0.26,0.25,0.25,0.43,0.12,0.38
knn,def,0.87,0.99,0.88,0.87,0.85,0.62,0.59,0.37,0.42,0.34,0.52,0.47,0.35,0.44,0.57,0.3,0.2
mlp_sklearn,def,0.86,0.98,0.88,0.88,0.86,0.58,0.52,0.73,0.56,0.48,0.21,0.33,0.08,0.29,0.16,0.1,0.17
rand_for,def,0.79,0.92,0.62,0.65,0.66,0.32,0.36,0.28,0.41,0.31,0.52,0.22,0.35,0.26,0.2,0.12,0.48
dec_tree,def,0.81,0.98,0.78,0.9,0.68,0.5,0.43,0.28,0.39,0.43,0.13,0.43,0.15,0.18,0.17,0.03,0.21
ber_nb,def,0.79,0.91,0.67,0.77,0.68,0.58,0.54,0.61,0.37,0.16,0.31,0.2,0.2,0.45,0.36,0.35,0.45
xtra_tree,def,0.88,0.99,0.89,0.87,0.83,0.73,0.68,0.56,0.55,0.43,0.52,0.21,0.28,0.26,0.41,0.39,0.79
gau_nb,def,0.82,0.96,0.79,0.82,0.79,0.7,0.46,0.62,0.25,0.58,0.32,0.1,0.22,0.2,0.13,0.23,0.33
label_prop,def,0.83,0.94,0.79,0.85,0.84,0.55,0.46,0.45,0.45,0.57,0.27,0.3,0.13,0.19,0.28,0.0,0.1
label_spread,def,0.8,0.95,0.83,0.84,0.69,0.37,0.37,0.26,0.4,0.57,0.38,0.56,0.1,0.12,0.25,0.0,0.22
lda,def,0.81,0.99,0.79,0.83,0.66,0.38,0.4,0.18,0.31,0.12,0.03,0.07,0.08,0.06,0.02,0.0,0.05
ridge_cv,def,0.88,0.99,0.85,0.93,0.94,0.62,0.67,0.8,0.56,0.6,0.5,0.07,0.23,0.28,0.23,0.05,0.15
n_cent,def,0.76,0.91,0.74,0.76,0.74,0.37,0.49,0.21,0.29,0.28,0.35,0.32,0.07,0.16,0.41,0.0,0.13
ridge,def,0.88,0.99,0.91,0.86,0.81,0.79,0.67,0.75,0.64,0.65,0.25,0.1,0.22,0.18,0.4,0.28,0.3
lr,def,0.85,0.99,0.86,0.82,0.79,0.47,0.45,0.4,0.33,0.3,0.38,0.11,0.05,0.08,0.33,0.0,0.36
lr,.3,0.83,0.99,0.82,0.76,0.72,0.46,0.59,0.22,0.45,0.44,0.4,0.12,0.03,0.05,0.12,0.25,0.4
lr,.1,0.86,0.99,0.87,0.82,0.86,0.47,0.5,0.8,0.53,0.55,0.52,0.35,0.07,0.0,0.48,0.27,0.47
lr,.03,0.84,0.99,0.78,0.79,0.97,0.55,0.39,0.21,0.39,0.39,0.33,0.03,0.02,0.02,0.25,0.2,0.4
lr,.01,0.85,0.99,0.84,0.84,0.76,0.7,0.38,0.38,0.37,0.57,0.17,0.28,0.1,0.03,0.25,0.29,0.17
lr,3e-3,0.86,0.99,0.89,0.82,0.87,0.57,0.59,0.3,0.43,0.32,0.2,0.5,0.05,0.21,0.49,0.13,0.5
lr,1e-3,0.85,0.99,0.76,0.88,0.88,0.55,0.52,0.53,0.42,0.49,0.3,0.17,0.12,0.32,0.22,0.15,0.21
lr,3e-4,0.85,0.98,0.81,0.88,0.84,0.44,0.61,0.6,0.36,0.45,0.29,0.24,0.16,0.09,0.27,0.3,0.5
lr,1e-4,0.85,0.95,0.83,0.9,0.77,0.74,0.57,0.55,0.3,0.45,0.5,0.25,0.19,0.06,0.42,0.23,0.1
lr,3e-5,0.81,0.93,0.86,0.75,0.78,0.49,0.62,0.44,0.27,0.55,0.56,0.3,0.19,0.27,0.54,0.07,0.27
lr,1e-5,0.77,0.9,0.68,0.73,0.62,0.34,0.44,0.62,0.24,0.28,0.43,0.21,0.15,0.25,0.56,0.23,0.37
lr,3e-6,0.71,0.86,0.38,0.54,0.42,0.23,0.43,0.42,0.44,0.02,0.27,0.35,0.15,0.23,0.25,0.13,0.5
lr,1e-6,0.59,0.78,0.37,0.32,0.18,0.28,0.25,0.05,0.35,0.0,0.07,0.05,0.15,0.03,0.13,0.29,0.13
xtra_tree,2g4,0.86,0.99,0.9,0.89,0.83,0.55,0.59,0.38,0.45,0.49,0.33,0.77,0.2,0.25,0.32,0.22,0.27
xtra_tree,2e4,0.87,0.99,0.93,0.92,0.84,0.77,0.6,0.63,0.51,0.52,0.35,0.23,0.15,0.45,0.3,0.1,0.3
xtra_tree,2g8,0.88,0.99,0.92,0.92,0.82,0.43,0.56,0.37,0.34,0.59,0.57,0.22,0.23,0.3,0.3,0.22,0.4
xtra_tree,2e8,0.88,0.99,0.88,0.88,0.83,0.72,0.65,0.62,0.5,0.53,0.45,0.53,0.19,0.54,0.43,0.15,0.6
xtra_tree,2g9,0.88,0.99,0.86,0.86,0.89,0.52,0.78,0.65,0.29,0.52,0.56,0.42,0.4,0.42,0.4,0.19,0.49
xtra_tree,2e9,0.87,0.99,0.87,0.89,0.81,0.43,0.65,0.57,0.6,0.66,0.22,0.38,0.28,0.56,0.62,0.31,0.6
xtra_tree,g10,0.87,0.98,0.88,0.83,0.8,0.54,0.64,0.46,0.44,0.43,0.45,0.15,0.24,0.24,0.21,0.32,0.4
xtra_tree,e10,0.88,0.98,0.92,0.82,0.84,0.76,0.58,0.65,0.41,0.61,0.57,0.31,0.42,0.44,0.57,0.07,0.7
xtra_tree,g11,0.88,1.0,0.86,0.85,0.87,0.32,0.62,0.85,0.77,0.35,0.53,0.28,0.14,0.2,0.39,0.22,0.67
xtra_tree,e11,0.88,0.99,0.82,0.91,0.9,0.75,0.48,0.63,0.48,0.57,0.5,0.07,0.46,0.5,0.36,0.21,0.53
xtra_tree,g12,0.87,0.99,0.9,0.94,0.81,0.8,0.46,0.44,0.59,0.52,0.38,0.23,0.2,0.29,0.35,0.27,0.65
xtra_tree,e12,0.87,0.99,0.88,0.89,0.85,0.58,0.73,0.78,0.77,0.4,0.45,0.13,0.23,0.27,0.38,0.06,0.42
