Algo,Flavor,Overall,Bucket 0(0.669),Bucket 1(0.088),Bucket 2(0.051),Bucket 3(0.052),Bucket 4(0.014),Bucket 5(0.033),Bucket 6(0.02),Bucket 7(0.02),Bucket 8(0.012),Bucket 9(0.02),Bucket 10(0.018),Bucket 11(0.02),Bucket 12(0.015),Bucket 13(0.01),Bucket 14(0.009),Bucket 15(0.009)
lr,def,0.83,0.99,0.91,0.81,0.84,0.69,0.51,0.56,0.35,0.43,0.39,0.26,0.16,0.13,0.29,0.15,0.32
svm,def,0.85,0.99,0.88,0.85,0.88,0.63,0.63,0.71,0.6,0.44,0.45,0.42,0.23,0.28,0.18,0.15,0.33
knn,def,0.85,0.99,0.9,0.83,0.84,0.65,0.55,0.65,0.45,0.51,0.38,0.58,0.32,0.29,0.38,0.04,0.37
mlp_sklearn,def,0.84,0.99,0.9,0.81,0.85,0.76,0.54,0.69,0.35,0.31,0.37,0.31,0.28,0.21,0.31,0.19,0.28
rand_for,def,0.77,0.93,0.7,0.71,0.71,0.45,0.44,0.46,0.4,0.28,0.36,0.19,0.31,0.28,0.29,0.35,0.4
dec_tree,def,0.81,0.98,0.83,0.78,0.71,0.67,0.51,0.54,0.4,0.39,0.27,0.28,0.16,0.25,0.16,0.08,0.39
ber_nb,def,0.78,0.92,0.66,0.77,0.76,0.48,0.54,0.65,0.35,0.48,0.47,0.32,0.3,0.39,0.38,0.28,0.5
xtra_tree,def,0.87,0.99,0.9,0.89,0.88,0.7,0.62,0.7,0.56,0.53,0.51,0.42,0.29,0.32,0.39,0.28,0.58
gau_nb,def,0.81,0.96,0.87,0.81,0.82,0.72,0.52,0.5,0.32,0.36,0.41,0.19,0.2,0.14,0.22,0.09,0.35
label_prop,def,0.81,0.95,0.77,0.81,0.79,0.53,0.59,0.74,0.42,0.6,0.44,0.35,0.32,0.16,0.39,0.29,0.17
label_spread,def,0.8,0.95,0.8,0.8,0.78,0.56,0.6,0.59,0.42,0.61,0.5,0.35,0.24,0.32,0.38,0.12,0.2
lda,def,0.75,0.98,0.72,0.71,0.52,0.4,0.34,0.31,0.29,0.09,0.09,0.07,0.05,0.08,0.09,0.01,0.1
ridge_cv,def,0.86,0.98,0.89,0.89,0.86,0.66,0.63,0.72,0.68,0.67,0.38,0.4,0.22,0.3,0.28,0.23,0.44
n_cent,def,0.77,0.93,0.74,0.75,0.68,0.48,0.55,0.56,0.22,0.71,0.4,0.26,0.18,0.13,0.38,0.15,0.11
ridge,def,0.86,0.99,0.9,0.92,0.89,0.67,0.69,0.8,0.73,0.6,0.45,0.32,0.22,0.29,0.26,0.24,0.25
lr,def,0.83,0.99,0.89,0.82,0.76,0.55,0.55,0.54,0.35,0.52,0.23,0.33,0.08,0.13,0.26,0.15,0.22
lr,.3,0.83,0.99,0.86,0.79,0.81,0.54,0.51,0.47,0.53,0.43,0.43,0.25,0.09,0.1,0.28,0.12,0.11
lr,.1,0.83,0.99,0.88,0.78,0.77,0.69,0.53,0.5,0.48,0.47,0.33,0.24,0.12,0.2,0.18,0.04,0.35
lr,.03,0.84,0.99,0.86,0.83,0.84,0.61,0.61,0.61,0.43,0.44,0.38,0.35,0.11,0.16,0.26,0.05,0.26
lr,.01,0.84,0.99,0.86,0.86,0.85,0.7,0.61,0.63,0.54,0.52,0.35,0.34,0.12,0.12,0.39,0.1,0.31
lr,3e-3,0.86,0.99,0.9,0.84,0.87,0.66,0.67,0.62,0.59,0.57,0.56,0.48,0.18,0.13,0.34,0.2,0.48
lr,1e-3,0.84,0.98,0.85,0.88,0.83,0.61,0.56,0.76,0.46,0.56,0.55,0.4,0.22,0.27,0.3,0.17,0.42
lr,3e-4,0.84,0.98,0.87,0.86,0.82,0.49,0.58,0.79,0.32,0.55,0.47,0.39,0.21,0.28,0.39,0.15,0.37
lr,1e-4,0.82,0.96,0.82,0.83,0.76,0.55,0.6,0.68,0.44,0.52,0.46,0.44,0.2,0.28,0.43,0.23,0.43
lr,3e-5,0.8,0.93,0.73,0.78,0.71,0.43,0.57,0.68,0.34,0.52,0.43,0.52,0.26,0.35,0.39,0.11,0.48
lr,1e-5,0.76,0.92,0.66,0.77,0.7,0.37,0.57,0.4,0.28,0.34,0.44,0.38,0.15,0.33,0.46,0.13,0.53
