Algo,Flavor,Overall,Bucket 0(0.619),Bucket 1(0.074),Bucket 2(0.037),Bucket 3(0.047),Bucket 4(0.019),Bucket 5(0.023),Bucket 6(0.009),Bucket 7(0.013),Bucket 8(0.011),Bucket 9(0.011),Bucket 10(0.009),Bucket 11(0.01),Bucket 12(0.018),Bucket 13(0.011),Bucket 14(0.01),Bucket 15(0.01)
lr,def,0.63,0.88,0.43,0.35,0.4,0.28,0.27,0.22,0.21,0.1,0.18,0.08,0.22,0.11,0.19,0.12,0.18
svm,def,0.69,0.92,0.64,0.55,0.54,0.37,0.34,0.32,0.2,0.12,0.21,0.19,0.2,0.14,0.17,0.11,0.14
knn,def,0.6,0.85,0.42,0.31,0.41,0.22,0.19,0.17,0.14,0.11,0.13,0.24,0.19,0.05,0.16,0.05,0.12
mlp_sklearn,def,0.58,0.83,0.35,0.29,0.28,0.24,0.26,0.19,0.2,0.07,0.09,0.14,0.19,0.13,0.15,0.06,0.18
rand_for,def,0.6,0.83,0.37,0.29,0.39,0.19,0.3,0.25,0.22,0.13,0.09,0.18,0.27,0.1,0.16,0.09,0.11
dec_tree,def,0.6,0.84,0.44,0.35,0.36,0.21,0.22,0.14,0.1,0.05,0.08,0.08,0.1,0.08,0.18,0.05,0.13
ber_nb,def,0.58,0.82,0.41,0.25,0.28,0.19,0.26,0.13,0.21,0.06,0.1,0.19,0.26,0.08,0.23,0.05,0.1
xtra_tree,def,0.63,0.88,0.45,0.39,0.41,0.3,0.32,0.16,0.19,0.13,0.1,0.1,0.18,0.14,0.16,0.11,0.21
gau_nb,def,0.32,0.39,0.31,0.33,0.29,0.18,0.22,0.1,0.14,0.09,0.09,0.16,0.08,0.06,0.12,0.11,0.12
label_prop,def,0.58,0.83,0.38,0.26,0.36,0.2,0.2,0.13,0.16,0.16,0.07,0.13,0.19,0.06,0.16,0.08,0.12
label_spread,def,0.59,0.83,0.38,0.32,0.35,0.12,0.29,0.18,0.21,0.06,0.08,0.17,0.15,0.04,0.19,0.11,0.11
lda,def,0.72,0.92,0.68,0.67,0.59,0.45,0.49,0.34,0.28,0.27,0.17,0.21,0.06,0.16,0.25,0.23,0.14
ridge_cv,def,0.61,0.85,0.38,0.3,0.35,0.18,0.28,0.18,0.23,0.17,0.11,0.21,0.24,0.1,0.19,0.11,0.2
n_cent,def,0.29,0.38,0.32,0.3,0.23,0.11,0.12,0.07,0.13,0.08,0.03,0.13,0.03,0.04,0.11,0.0,0.01
ridge,def,0.67,0.9,0.54,0.47,0.46,0.33,0.34,0.26,0.23,0.11,0.16,0.16,0.26,0.19,0.22,0.1,0.18
lr,def,0.64,0.89,0.43,0.35,0.41,0.26,0.29,0.26,0.16,0.2,0.13,0.17,0.23,0.14,0.25,0.05,0.14
lr,.3,0.59,0.83,0.39,0.3,0.36,0.17,0.33,0.22,0.2,0.08,0.1,0.16,0.25,0.08,0.22,0.05,0.19
lr,.1,0.58,0.82,0.32,0.28,0.32,0.19,0.29,0.2,0.18,0.1,0.08,0.18,0.24,0.03,0.22,0.14,0.17
lr,.03,0.57,0.82,0.34,0.28,0.33,0.18,0.24,0.13,0.17,0.07,0.1,0.21,0.25,0.06,0.17,0.07,0.12
lr,.01,0.57,0.82,0.33,0.28,0.34,0.17,0.26,0.16,0.16,0.06,0.11,0.17,0.21,0.08,0.1,0.07,0.11
lr,3e-3,0.58,0.82,0.36,0.28,0.31,0.18,0.28,0.14,0.19,0.08,0.09,0.16,0.21,0.08,0.2,0.08,0.15
lr,1e-3,0.57,0.82,0.36,0.26,0.28,0.16,0.29,0.13,0.2,0.11,0.1,0.09,0.17,0.07,0.15,0.08,0.18
lr,3e-4,0.58,0.82,0.34,0.26,0.3,0.19,0.3,0.16,0.18,0.08,0.12,0.14,0.22,0.07,0.12,0.12,0.12
lr,1e-4,0.57,0.82,0.33,0.23,0.28,0.2,0.25,0.19,0.21,0.11,0.08,0.17,0.16,0.07,0.17,0.1,0.09
lr,3e-5,0.58,0.83,0.34,0.26,0.29,0.13,0.29,0.18,0.23,0.08,0.14,0.18,0.29,0.06,0.16,0.04,0.09
lr,1e-5,0.58,0.83,0.34,0.26,0.32,0.2,0.27,0.14,0.24,0.1,0.12,0.2,0.17,0.05,0.14,0.03,0.17
lr,3e-6,0.58,0.82,0.36,0.26,0.3,0.2,0.28,0.13,0.16,0.04,0.12,0.15,0.21,0.05,0.15,0.07,0.09
lr,1e-6,0.41,0.61,0.14,0.08,0.22,0.13,0.2,0.16,0.13,0.04,0.04,0.09,0.16,0.05,0.09,0.06,0.15
