Algo,Flavor,Overall,Bucket 0(0.688),Bucket 1(0.088),Bucket 2(0.043),Bucket 3(0.042),Bucket 4(0.019),Bucket 5(0.026),Bucket 6(0.011),Bucket 7(0.011),Bucket 8(0.014),Bucket 9(0.007),Bucket 10(0.011),Bucket 11(0.021),Bucket 12(0.019),Bucket 13(0.013),Bucket 14(0.011),Bucket 15(0.01)
lr,def,0.64,0.89,0.43,0.29,0.4,0.27,0.24,0.37,0.25,0.26,0.14,0.19,0.16,0.15,0.16,0.17,0.08
svm,def,0.63,0.89,0.49,0.31,0.36,0.3,0.23,0.21,0.22,0.17,0.1,0.11,0.08,0.1,0.09,0.1,0.09
knn,def,0.63,0.88,0.49,0.37,0.37,0.26,0.24,0.23,0.19,0.19,0.09,0.22,0.14,0.14,0.18,0.11,0.08
mlp_sklearn,def,0.61,0.87,0.4,0.29,0.31,0.23,0.23,0.33,0.18,0.17,0.09,0.09,0.15,0.19,0.17,0.1,0.12
rand_for,def,0.59,0.85,0.38,0.25,0.27,0.2,0.22,0.15,0.2,0.12,0.05,0.12,0.14,0.1,0.13,0.01,0.17
dec_tree,def,0.59,0.85,0.41,0.27,0.26,0.2,0.21,0.17,0.16,0.21,0.05,0.18,0.15,0.12,0.09,0.19,0.05
ber_nb,def,0.54,0.79,0.36,0.18,0.28,0.21,0.21,0.07,0.18,0.13,0.04,0.06,0.1,0.05,0.08,0.07,0.1
xtra_tree,def,0.65,0.9,0.52,0.35,0.34,0.3,0.23,0.32,0.22,0.2,0.14,0.11,0.12,0.16,0.13,0.13,0.11
gau_nb,def,0.27,0.34,0.29,0.15,0.19,0.14,0.14,0.09,0.16,0.19,0.06,0.1,0.03,0.07,0.12,0.04,0.02
label_prop,def,0.59,0.83,0.42,0.28,0.37,0.21,0.35,0.28,0.27,0.18,0.08,0.14,0.17,0.13,0.11,0.15,0.07
label_spread,def,0.59,0.84,0.44,0.27,0.33,0.19,0.25,0.19,0.2,0.2,0.11,0.17,0.17,0.09,0.13,0.1,0.16
lda,def,0.63,0.87,0.51,0.31,0.42,0.25,0.2,0.18,0.14,0.19,0.11,0.19,0.16,0.14,0.07,0.12,0.13
ridge_cv,def,0.6,0.86,0.39,0.28,0.31,0.28,0.28,0.15,0.18,0.26,0.09,0.07,0.14,0.14,0.08,0.06,0.15
n_cent,def,0.18,0.24,0.25,0.16,0.1,0.16,0.1,0.01,0.12,0.08,0.02,0.06,0.05,0.03,0.07,0.05,0.02
ridge,def,0.61,0.87,0.4,0.22,0.33,0.23,0.26,0.19,0.21,0.16,0.09,0.17,0.13,0.06,0.11,0.06,0.07
lr,0.63,0.88,0.43,0.29,0.34,0.24,0.29,0.3,0.28,0.24,0.1,0.17,0.09,0.24,0.11,0.14,0.13
lr,.3,0.61,0.87,0.43,0.31,0.37,0.17,0.21,0.22,0.19,0.23,0.11,0.21,0.11,0.12,0.15,0.08,0.12
lr,.1,0.61,0.87,0.4,0.3,0.32,0.28,0.21,0.19,0.29,0.17,0.11,0.12,0.14,0.15,0.1,0.08,0.12
lr,.03,0.6,0.86,0.39,0.25,0.36,0.3,0.28,0.24,0.3,0.11,0.06,0.17,0.11,0.11,0.13,0.04,0.08
lr,.01,0.59,0.85,0.37,0.23,0.38,0.21,0.23,0.19,0.18,0.14,0.08,0.16,0.14,0.1,0.1,0.04,0.11
lr,3e-3,0.58,0.85,0.36,0.2,0.31,0.18,0.26,0.17,0.27,0.08,0.05,0.12,0.15,0.1,0.07,0.02,0.18
lr,lr,1e-3,0.58,0.84,0.34,0.23,0.33,0.14,0.25,0.14,0.18,0.05,0.04,0.18,0.11,0.1,0.09,0.03,0.15
lr,3e-4,0.57,0.84,0.32,0.2,0.29,0.21,0.33,0.16,0.2,0.1,0.04,0.15,0.25,0.06,0.12,0.03,0.19
lr,1e-4,0.55,0.79,0.33,0.22,0.3,0.21,0.19,0.2,0.19,0.09,0.04,0.09,0.17,0.1,0.11,0.04,0.12
lr,3e-5,0.55,0.78,0.34,0.24,0.3,0.23,0.26,0.17,0.18,0.06,0.03,0.12,0.14,0.08,0.14,0.04,0.06
lr,1e-5,0.55,0.79,0.3,0.21,0.28,0.18,0.21,0.2,0.22,0.13,0.04,0.11,0.17,0.03,0.17,0.06,0.12
lr,3e-6,0.52,0.77,0.25,0.15,0.28,0.13,0.21,0.17,0.19,0.05,0.11,0.12,0.22,0.07,0.12,0.04,0.18
lr,1e-6,0.41,0.61,0.15,0.11,0.19,0.05,0.16,0.1,0.1,0.03,0.07,0.09,0.15,0.09,0.08,0.09,0.17
