Algo,Flavor,Overall,Bucket 0(0.688),Bucket 1(0.086),Bucket 2(0.052),Bucket 3(0.046),Bucket 4(0.018),Bucket 5(0.031),Bucket 6(0.015),Bucket 7(0.015),Bucket 8(0.009),Bucket 9(0.009),Bucket 10(0.012),Bucket 11(0.019),Bucket 12(0.017),Bucket 13(0.012),Bucket 14(0.012),Bucket 15(0.009)
lr,def,0.81,0.99,0.87,0.81,0.79,0.64,0.62,0.52,0.43,0.55,0.46,0.32,0.18,0.17,0.21,0.11,0.22
svm,def,0.82,0.99,0.89,0.88,0.83,0.64,0.66,0.69,0.43,0.51,0.44,0.26,0.25,0.13,0.21,0.16,0.21
knn,def,0.84,0.99,0.91,0.86,0.88,0.67,0.72,0.69,0.5,0.57,0.45,0.46,0.26,0.29,0.37,0.2,0.31
mlp_sklearn,def,0.83,0.98,0.9,0.87,0.81,0.6,0.63,0.68,0.5,0.52,0.52,0.3,0.23,0.16,0.31,0.19,0.34
rand_for,def,0.76,0.94,0.68,0.71,0.67,0.48,0.47,0.43,0.41,0.42,0.29,0.35,0.29,0.23,0.28,0.18,0.4
dec_tree,def,0.8,0.97,0.84,0.79,0.8,0.68,0.62,0.5,0.4,0.43,0.36,0.31,0.31,0.19,0.28,0.06,0.17
ber_nb,def,0.79,0.94,0.81,0.8,0.77,0.56,0.7,0.64,0.52,0.47,0.32,0.3,0.31,0.37,0.33,0.29,0.42
xtra_tree,def,0.86,0.99,0.91,0.9,0.89,0.72,0.71,0.72,0.65,0.58,0.54,0.51,0.31,0.36,0.39,0.28,0.4
gau_nb,def,0.78,0.96,0.84,0.76,0.78,0.59,0.51,0.43,0.43,0.35,0.24,0.29,0.18,0.21,0.18,0.2,0.25
label_prop,def,0.8,0.96,0.8,0.82,0.79,0.6,0.6,0.66,0.44,0.6,0.41,0.47,0.3,0.24,0.31,0.14,0.23
label_spread,def,0.79,0.96,0.82,0.81,0.82,0.58,0.62,0.66,0.46,0.44,0.42,0.39,0.28,0.14,0.3,0.1,0.29
lda,def,0.72,0.95,0.78,0.69,0.64,0.47,0.35,0.24,0.18,0.2,0.13,0.18,0.04,0.06,0.07,0.04,0.09
ridge_cv,def,0.84,0.99,0.91,0.9,0.86,0.72,0.7,0.71,0.65,0.56,0.41,0.41,0.26,0.27,0.28,0.18,0.25
n_cent,def,0.78,0.95,0.78,0.78,0.71,0.65,0.65,0.71,0.4,0.52,0.46,0.45,0.25,0.12,0.33,0.21,0.15
ridge,def,0.84,0.99,0.91,0.9,0.87,0.74,0.69,0.68,0.6,0.54,0.4,0.32,0.21,0.21,0.27,0.18,0.19
lr,def,0.81,0.99,0.88,0.83,0.83,0.66,0.6,0.56,0.42,0.46,0.33,0.29,0.13,0.17,0.22,0.16,0.17
lr,.3,0.82,0.99,0.9,0.82,0.82,0.67,0.61,0.55,0.54,0.44,0.41,0.43,0.17,0.14,0.2,0.07,0.28
lr,.1,0.82,0.99,0.89,0.84,0.85,0.65,0.64,0.64,0.43,0.47,0.35,0.36,0.27,0.19,0.18,0.09,0.2
lr,.03,0.82,0.99,0.88,0.82,0.85,0.61,0.64,0.56,0.48,0.5,0.48,0.42,0.17,0.15,0.2,0.09,0.16
lr,.01,0.83,0.99,0.89,0.84,0.87,0.72,0.66,0.6,0.53,0.48,0.45,0.38,0.2,0.18,0.32,0.15,0.33
lr,3e-3,0.83,0.99,0.92,0.86,0.86,0.63,0.63,0.66,0.53,0.5,0.38,0.39,0.25,0.22,0.27,0.15,0.25
lr,1e-3,0.83,0.99,0.89,0.85,0.87,0.68,0.68,0.65,0.55,0.48,0.45,0.36,0.25,0.19,0.31,0.21,0.28
lr,3e-4,0.83,0.98,0.88,0.88,0.85,0.63,0.7,0.71,0.49,0.52,0.44,0.35,0.23,0.29,0.41,0.15,0.28
lr,1e-4,0.81,0.97,0.86,0.83,0.81,0.6,0.66,0.64,0.42,0.56,0.44,0.36,0.21,0.25,0.3,0.21,0.36
lr,3e-5,0.79,0.95,0.78,0.81,0.74,0.6,0.62,0.7,0.4,0.42,0.45,0.47,0.29,0.28,0.38,0.16,0.37
