Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.77,0.0,0.98,0.99,0.93,0.84,0.66
svm,0.78,0.0,0.98,0.98,0.91,0.97,0.77
knn,0.73,0.0,0.98,0.91,0.8,0.71,0.64
mlp_sklearn,0.73,0.0,0.96,0.94,0.92,0.89,0.65
rand_for,0.66,0.0,0.81,0.8,0.8,0.73,0.75
dec_tree,0.72,0.0,0.98,0.9,0.84,0.79,0.73
ber_nb,0.63,0.0,0.86,0.73,0.78,0.74,0.8
xtra_tree,0.8,0.0,0.98,0.95,0.89,0.95,0.89
gau_nb,0.62,0.0,0.89,0.83,0.65,0.85,0.54
label_prop,0.66,0.0,0.83,0.75,0.76,0.69,0.79
label_spread,0.63,0.0,0.81,0.8,0.71,0.6,0.71
lda,0.65,0.0,0.97,0.91,0.81,0.67,0.63
ridge_cv,0.77,0.0,0.97,0.97,0.94,1.0,0.8
n_cent,0.69,0.0,0.89,0.79,0.85,0.7,0.83
ridge,0.77,0.0,0.95,0.95,0.91,0.9,0.8
