pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.85,0.0,0.95,0.88,0.7,0.6,0.4
10,0.82,0.0,0.96,0.95,0.77,0.7,0.55
25,0.8,0.0,0.98,0.95,0.89,0.95,0.89
40,0.78,0.0,0.97,0.96,0.92,0.97,0.92
50,0.75,0.0,0.98,0.98,0.94,0.95,0.87
