pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.74,0.0,0.98,0.88,0.87,0.6,0.45
10,0.82,0.0,0.98,0.96,0.97,0.87,0.61
25,0.78,0.0,0.98,0.98,0.91,0.97,0.77
40,0.73,0.0,0.98,0.97,0.92,0.92,0.84
50,0.72,0.0,0.98,0.98,0.92,0.92,0.9
