pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.71,0.0,0.87,0.87,0.72,0.25,0.55
10,0.75,0.0,0.96,0.73,0.8,0.73,0.62
25,0.69,0.0,0.89,0.79,0.85,0.7,0.83
40,0.66,0.0,0.9,0.81,0.85,0.77,0.66
50,0.68,0.0,0.94,0.86,0.88,0.81,0.82
