Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.75,0.0,0.99,0.97,0.91,0.95,0.85
svm,0.73,0.0,0.98,0.97,0.92,0.92,0.84
knn,0.71,0.0,0.97,0.89,0.83,0.82,0.79
mlp_sklearn,0.63,0.0,0.87,0.84,0.73,0.82,0.72
rand_for,0.65,0.0,0.8,0.83,0.81,0.76,0.75
dec_tree,0.71,0.0,0.95,0.94,0.89,0.92,0.67
ber_nb,0.64,0.0,0.78,0.79,0.84,0.8,0.74
xtra_tree,0.78,0.0,0.97,0.96,0.92,0.97,0.92
gau_nb,0.58,0.0,0.92,0.8,0.65,0.87,0.53
label_prop,0.64,0.0,0.81,0.75,0.8,0.69,0.7
label_spread,0.6,0.0,0.76,0.78,0.74,0.6,0.64
lda,0.63,0.0,0.97,0.9,0.8,0.81,0.62
ridge_cv,0.75,0.0,0.98,0.97,0.88,0.96,0.88
n_cent,0.66,0.0,0.9,0.81,0.85,0.77,0.66
ridge,0.71,0.0,0.98,0.96,0.88,0.94,0.69
