Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.7,0.0,0.97,0.9,0.75,0.6,0.45
svm,0.74,0.0,0.98,0.88,0.87,0.6,0.45
knn,0.76,0.0,0.99,0.98,0.62,0.5,0.3
mlp_sklearn,0.71,0.0,0.97,0.84,0.35,0.4,0.45
rand_for,0.7,0.0,0.78,1.0,0.75,0.35,0.4
dec_tree,0.73,0.0,0.92,0.87,0.67,0.7,0.63
ber_nb,0.71,0.0,0.94,0.78,0.83,0.43,0.22
xtra_tree,0.85,0.0,0.95,0.88,0.7,0.6,0.4
gau_nb,0.72,0.0,0.92,0.95,0.61,0.7,0.25
label_prop,0.67,0.0,0.88,0.66,0.67,0.76,0.2
label_spread,0.69,0.0,0.93,0.9,0.69,0.52,0.2
lda,0.72,0.0,0.93,0.89,0.65,0.47,0.4
ridge_cv,0.77,0.0,1.0,0.98,0.6,0.8,0.5
n_cent,0.71,0.0,0.87,0.87,0.72,0.25,0.55
ridge,0.79,0.0,0.97,0.91,0.8,0.8,0.25
