pct,overall_acc,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
5,0.77,0.0,1.0,0.98,0.6,0.8,0.5
10,0.84,0.0,0.99,0.97,0.81,1.0,0.74
25,0.77,0.0,0.97,0.97,0.94,1.0,0.8
40,0.75,0.0,0.98,0.97,0.88,0.96,0.88
50,0.71,0.0,0.97,0.99,0.92,0.93,0.84
