Id	Signature	Prediction 1	Prediction 2	Prediction 3	Prediction 4
O30408_1|P	LFTTFDVCYQESSLITAGEHNHYGPSETHVVTTC	pro	pip	aad	ser
O30408_2|F	SWNLFDAFALTTVFMLGGEMNAYGPTESSVMATY	phe	tyr	pip	ser
