Algo,Overall,Bucket 0(0.655),Bucket 1(0.085),Bucket 2(0.049),Bucket 3(0.033),Bucket 4(0.019),Bucket 5(0.023),Bucket 6(0.01),Bucket 7(0.013),Bucket 8(0.015),Bucket 9(0.007),Bucket 10(0.016),Bucket 11(0.02),Bucket 12(0.019),Bucket 13(0.01),Bucket 14(0.011),Bucket 15(0.01)
lr,0.83,0.98,0.86,0.81,0.88,0.71,0.38,0.34,0.3,0.58,0.07,0.16,0.05,0.07,0.23,0.1,0.08
svm,0.82,0.97,0.8,0.83,0.83,0.57,0.67,0.43,0.29,0.27,0.42,0.1,0.12,0.07,0.03,0.05,0.23
knn,0.86,0.99,0.84,0.81,0.84,0.61,0.51,0.6,0.43,0.55,0.55,0.5,0.27,0.17,0.6,0.12,0.2
mlp_sklearn,0.83,0.97,0.85,0.79,0.77,0.49,0.39,0.67,0.36,0.37,0.71,0.47,0.03,0.18,0.08,0.35,0.3
rand_for,0.78,0.92,0.66,0.67,0.74,0.32,0.62,0.45,0.35,0.24,0.25,0.32,0.31,0.28,0.49,0.18,0.37
dec_tree,0.83,0.97,0.86,0.71,0.76,0.88,0.54,0.43,0.57,0.33,0.48,0.28,0.27,0.14,0.1,0.05,0.35
ber_nb,0.81,0.94,0.79,0.79,0.87,0.57,0.52,0.55,0.26,0.27,0.13,0.0,0.16,0.39,0.43,0.2,0.3
xtra_tree,0.88,0.99,0.89,0.9,0.77,0.77,0.78,0.4,0.92,0.27,0.46,0.18,0.39,0.41,0.45,0.36,0.45
gau_nb,0.76,0.92,0.84,0.67,0.63,0.43,0.41,0.39,0.46,0.25,0.29,0.03,0.07,0.11,0.0,0.15,0.23
label_prop,0.83,0.95,0.9,0.73,0.83,0.42,0.61,0.48,0.47,0.5,0.57,0.4,0.26,0.03,0.46,0.13,0.22
label_spread,0.83,0.95,0.88,0.8,0.84,0.42,0.68,0.5,0.42,0.28,0.46,0.3,0.14,0.05,0.13,0.1,0.43
lda,0.81,0.97,0.86,0.84,0.69,0.66,0.47,0.37,0.35,0.47,0.15,0.2,0.07,0.03,0.05,0.0,0.08
ridge_cv,0.87,0.99,0.82,0.86,0.93,0.73,0.51,0.57,0.46,0.57,0.49,0.15,0.38,0.38,0.41,0.15,0.27
n_cent,0.77,0.92,0.76,0.75,0.72,0.57,0.53,0.66,0.27,0.38,0.42,0.27,0.06,0.06,0.2,0.12,0.02
ridge,0.85,0.98,0.85,0.8,0.83,0.92,0.61,0.57,0.6,0.63,0.33,0.27,0.11,0.12,0.22,0.25,0.24
