Algo,Overall,Bucket 0(0.571),Bucket 1(0.066),Bucket 2(0.049),Bucket 3(0.04),Bucket 4(0.012),Bucket 5(0.031),Bucket 6(0.009),Bucket 7(0.013),Bucket 8(0.012),Bucket 9(0.01),Bucket 10(0.009),Bucket 11(0.019),Bucket 12(0.014),Bucket 13(0.01),Bucket 14(0.01),Bucket 15(0.009)
lr,0.64,0.87,0.41,0.27,0.37,0.17,0.23,0.45,0.35,0.19,0.09,0.25,0.1,0.18,0.12,0.28,0.21
svm,0.64,0.89,0.43,0.33,0.35,0.24,0.24,0.24,0.2,0.18,0.1,0.19,0.05,0.09,0.16,0.09,0.13
knn,0.64,0.87,0.43,0.28,0.38,0.22,0.2,0.26,0.19,0.21,0.12,0.23,0.13,0.26,0.26,0.07,0.19
mlp_sklearn,0.62,0.85,0.36,0.35,0.36,0.18,0.23,0.21,0.2,0.16,0.1,0.1,0.16,0.23,0.21,0.1,0.14
rand_for,0.59,0.83,0.35,0.21,0.31,0.12,0.24,0.15,0.24,0.11,0.0,0.24,0.09,0.05,0.11,0.03,0.05
dec_tree,0.61,0.84,0.42,0.33,0.33,0.23,0.18,0.1,0.21,0.09,0.08,0.06,0.09,0.23,0.16,0.34,0.15
ber_nb,0.54,0.77,0.31,0.16,0.21,0.15,0.17,0.16,0.17,0.19,0.01,0.05,0.16,0.01,0.1,0.0,0.15
xtra_tree,0.66,0.9,0.47,0.31,0.37,0.31,0.22,0.27,0.16,0.16,0.05,0.22,0.12,0.16,0.22,0.2,0.22
gau_nb,0.26,0.34,0.3,0.12,0.12,0.08,0.11,0.06,0.13,0.24,0.02,0.09,0.01,0.08,0.11,0.0,0.0
label_prop,0.62,0.84,0.38,0.2,0.31,0.22,0.33,0.26,0.24,0.25,0.04,0.23,0.11,0.11,0.24,0.07,0.05
label_spread,0.61,0.83,0.41,0.3,0.27,0.11,0.26,0.34,0.26,0.23,0.1,0.22,0.16,0.2,0.16,0.15,0.23
lda,0.6,0.84,0.43,0.24,0.34,0.15,0.17,0.35,0.15,0.19,0.1,0.14,0.18,0.04,0.14,0.05,0.05
ridge_cv,0.61,0.85,0.32,0.2,0.29,0.24,0.16,0.21,0.25,0.13,0.09,0.12,0.15,0.08,0.13,0.0,0.16
n_cent,0.2,0.25,0.28,0.13,0.11,0.14,0.08,0.0,0.08,0.02,0.01,0.03,0.02,0.0,0.13,0.0,0.02
ridge,0.61,0.84,0.38,0.19,0.32,0.21,0.23,0.19,0.22,0.13,0.09,0.21,0.12,0.06,0.13,0.02,0.11
