Algo,Overall,Bucket 0(0.469),Bucket 1(0.102),Bucket 2(0.061),Bucket 3(0.122),Bucket 4(0.02),Bucket 5(0.0),Bucket 6(0.02),Bucket 7(0.0),Bucket 8(0.0),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.0),Bucket 12(0.0),Bucket 13(0.041),Bucket 14(0.0),Bucket 15(0.02)
lr,0.99,1.0,1.0,1.0,1.0,0.71,0.57,0.14,0.29,0.14,0.14,0.0,0.43,0.0,1.0,0.71,0.29
svm,0.99,1.0,1.0,1.0,1.0,0.71,0.29,0.86,0.14,0.14,0.29,0.0,0.71,0.0,0.57,0.57,0.29
knn,0.98,0.99,1.0,1.0,1.0,0.71,0.43,0.57,0.29,0.14,0.29,0.29,0.57,0.0,0.71,0.81,0.43
mlp_sklearn,0.95,0.97,1.0,1.0,1.0,0.86,0.43,0.57,0.29,0.14,0.29,0.29,0.43,0.0,0.71,0.43,0.57
rand_for,0.99,1.0,1.0,1.0,1.0,0.71,0.29,0.57,0.29,0.43,0.0,0.0,0.71,0.29,0.71,0.43,0.57
dec_tree,0.96,1.0,1.0,1.0,1.0,0.71,0.29,0.71,0.43,0.57,0.0,0.0,0.86,0.0,0.71,0.71,0.43
ber_nb,0.97,1.0,1.0,1.0,1.0,0.71,0.0,0.43,0.14,0.29,0.14,0.0,0.43,0.0,0.57,0.71,0.57
xtra_tree,0.99,1.0,1.0,1.0,1.0,0.57,0.0,0.71,0.86,0.43,0.29,0.0,0.57,0.14,0.71,0.57,0.86
gau_nb,0.95,1.0,1.0,1.0,0.93,0.43,0.14,0.57,0.29,0.43,0.43,0.29,0.43,0.0,0.57,0.57,0.29
label_prop,0.97,0.99,1.0,1.0,1.0,0.71,0.29,0.86,0.29,0.43,0.29,0.14,0.29,0.14,0.71,0.57,0.43
label_spread,0.96,0.99,1.0,1.0,1.0,0.57,0.0,0.43,0.0,0.29,0.0,0.0,0.43,0.0,0.57,0.81,0.86
lda,0.83,0.89,0.92,0.89,0.8,0.0,0.14,0.5,0.14,0.43,0.0,0.14,0.29,0.0,0.29,0.36,0.57
ridge_cv,0.95,1.0,1.0,1.0,1.0,0.71,0.57,0.43,0.14,0.14,0.29,0.14,0.14,0.14,0.57,0.43,0.14
n_cent,0.97,1.0,1.0,1.0,1.0,0.71,0.43,0.57,0.57,0.43,0.29,0.0,0.57,0.0,0.57,0.57,0.29
ridge,1.0,1.0,1.0,1.0,1.0,0.71,0.14,0.71,0.43,0.14,0.29,0.0,0.29,0.14,0.86,0.57,0.71
