Algo,Overall,Bucket 0(0.343),Bucket 1(0.186),Bucket 2(0.071),Bucket 3(0.071),Bucket 4(0.0),Bucket 5(0.0),Bucket 6(0.0),Bucket 7(0.0),Bucket 8(0.014),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.029),Bucket 12(0.0),Bucket 13(0.043),Bucket 14(0.029),Bucket 15(0.0)
lr,0.93,0.94,0.93,0.57,0.57,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.29,0.0,0.29,0.29,0.0
svm,0.8,0.86,0.76,0.29,0.5,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.14
knn,0.73,0.86,0.71,0.29,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
mlp_sklearn,0.82,0.87,0.93,0.14,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
rand_for,0.88,0.93,0.71,0.29,0.67,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
dec_tree,0.77,0.88,0.64,0.43,0.57,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
ber_nb,0.78,0.49,0.79,0.5,0.43,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.71
xtra_tree,0.95,1.0,0.86,0.43,0.71,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.14
gau_nb,0.66,0.81,0.57,0.14,0.31,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
label_prop,0.77,0.8,0.61,0.21,0.71,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0
label_spread,0.72,0.84,0.73,0.29,0.29,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lda,0.91,1.0,0.71,0.71,0.57,0.0,0.0,0.71,0.0,0.14,0.0,0.0,0.14,0.0,0.14,0.0,0.0
ridge_cv,0.88,0.91,0.5,0.33,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
n_cent,0.72,0.68,0.57,0.57,0.43,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.29,0.14,0.14
ridge,0.91,1.0,0.86,0.86,0.71,0.0,0.0,0.29,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0.14,0.14
