Algo,Overall,Bucket 0(0.857),Bucket 1(0.333),Bucket 2(0.048),Bucket 3(0.238),Bucket 4(0.0),Bucket 5(0.0),Bucket 6(0.048),Bucket 7(0.095),Bucket 8(0.048),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.048),Bucket 12(0.0),Bucket 13(0.048),Bucket 14(0.048),Bucket 15(0.048)
lr,0.98,1.0,1.0,0.86,1.0,0.43,0.14,0.29,0.29,0.14,0.14,0.0,0.57,0.0,0.29,0.57,0.0
svm,0.99,1.0,1.0,1.0,0.86,0.14,0.43,0.86,0.14,0.29,0.14,0.0,0.57,0.0,0.29,0.57,0.43
knn,1.0,1.0,1.0,1.0,1.0,0.43,0.0,0.43,0.29,0.57,0.0,0.0,0.57,0.0,0.57,0.14,0.14
mlp_sklearn,0.96,1.0,1.0,1.0,0.86,0.14,0.0,0.43,0.0,0.14,0.14,0.0,0.43,0.0,0.57,0.57,0.14
rand_for,1.0,1.0,1.0,0.86,0.86,0.14,0.0,0.71,0.0,0.43,0.14,0.0,0.43,0.0,0.14,0.29,0.43
dec_tree,1.0,1.0,1.0,1.0,0.86,0.0,0.14,0.71,0.0,0.0,0.14,0.0,0.29,0.0,0.57,0.43,0.43
ber_nb,0.99,1.0,1.0,1.0,0.86,0.14,0.14,0.43,0.14,0.29,0.0,0.0,0.43,0.0,0.57,0.57,0.29
xtra_tree,1.0,1.0,1.0,0.86,1.0,0.29,0.14,0.57,0.29,0.14,0.14,0.0,0.57,0.0,0.14,0.57,0.43
gau_nb,0.97,1.0,1.0,1.0,0.82,0.14,0.0,0.57,0.14,0.43,0.14,0.0,0.57,0.0,0.57,0.43,0.0
label_prop,0.98,1.0,1.0,1.0,1.0,0.14,0.14,0.71,0.14,0.43,0.0,0.0,0.57,0.0,0.14,0.57,0.29
label_spread,1.0,1.0,1.0,0.86,0.86,0.29,0.0,0.57,0.0,0.14,0.0,0.0,0.57,0.0,0.29,0.43,0.0
lda,0.96,1.0,1.0,0.86,0.81,0.29,0.0,0.57,0.0,0.14,0.0,0.0,0.43,0.0,0.0,0.57,0.14
ridge_cv,0.99,1.0,1.0,1.0,1.0,0.14,0.0,0.43,0.0,0.0,0.14,0.0,0.57,0.0,0.43,0.43,0.0
n_cent,0.97,1.0,1.0,0.86,1.0,0.43,0.14,0.29,0.0,0.14,0.0,0.0,0.71,0.0,0.29,0.29,0.29
ridge,0.99,1.0,1.0,1.0,1.0,0.0,0.0,0.43,0.0,0.29,0.0,0.0,0.43,0.0,0.29,0.43,0.43
