Algo,Overall,Bucket 0(0.343),Bucket 1(0.214),Bucket 2(0.071),Bucket 3(0.086),Bucket 4(0.0),Bucket 5(0.0),Bucket 6(0.014),Bucket 7(0.0),Bucket 8(0.014),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.043),Bucket 12(0.0),Bucket 13(0.014),Bucket 14(0.014),Bucket 15(0.014)
lr,0.99,1.0,1.0,0.86,1.0,0.29,0.0,0.29,0.0,0.14,0.0,0.0,0.43,0.0,0.29,0.29,0.29
svm,0.98,1.0,1.0,0.86,1.0,0.14,0.0,0.71,0.14,0.29,0.14,0.0,0.71,0.0,0.43,0.71,0.14
knn,0.99,1.0,1.0,1.0,0.86,0.29,0.14,0.43,0.0,0.14,0.0,0.0,0.57,0.0,0.43,0.57,0.43
mlp_sklearn,0.95,1.0,1.0,1.0,0.86,0.14,0.0,0.86,0.0,0.14,0.14,0.0,0.29,0.0,0.29,0.57,0.71
rand_for,0.99,0.99,1.0,1.0,1.0,0.43,0.14,0.57,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.43,0.29
dec_tree,0.98,1.0,1.0,0.86,1.0,0.29,0.0,0.71,0.0,0.43,0.14,0.0,0.57,0.0,0.57,0.14,0.43
ber_nb,0.97,1.0,1.0,0.86,1.0,0.14,0.14,0.14,0.29,0.0,0.29,0.0,0.29,0.0,0.71,0.43,0.29
xtra_tree,1.0,1.0,1.0,0.86,1.0,0.57,0.43,0.14,0.43,0.14,0.0,0.0,0.43,0.0,0.43,0.14,0.29
gau_nb,0.94,1.0,1.0,1.0,0.81,0.29,0.0,0.43,0.14,0.0,0.0,0.0,0.71,0.0,0.29,0.43,0.14
label_prop,0.98,1.0,1.0,0.86,1.0,0.29,0.14,0.14,0.29,0.29,0.14,0.0,0.43,0.0,0.29,0.29,0.0
label_spread,0.98,1.0,1.0,0.86,1.0,0.0,0.0,0.57,0.14,0.29,0.0,0.0,0.71,0.0,0.29,0.43,0.43
lda,0.91,1.0,1.0,0.86,1.0,0.43,0.29,0.14,0.0,0.57,0.14,0.0,0.43,0.0,0.0,0.36,0.29
ridge_cv,0.99,1.0,1.0,1.0,1.0,0.14,0.14,0.29,0.14,0.29,0.14,0.0,0.57,0.0,0.71,0.43,0.29
n_cent,0.98,1.0,1.0,1.0,1.0,0.43,0.29,0.57,0.0,0.29,0.14,0.0,0.43,0.0,0.29,0.71,0.57
ridge,0.99,1.0,1.0,1.0,0.57,0.14,0.14,0.71,0.0,0.29,0.0,0.0,0.57,0.0,0.43,0.57,0.43
