Algo,Overall,Bucket 0(0.343),Bucket 1(0.214),Bucket 2(0.071),Bucket 3(0.086),Bucket 4(0.0),Bucket 5(0.0),Bucket 6(0.014),Bucket 7(0.0),Bucket 8(0.014),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.043),Bucket 12(0.0),Bucket 13(0.014),Bucket 14(0.014),Bucket 15(0.014)
lr,0.99,1.0,1.0,1.0,1.0,0.29,0.14,0.43,0.43,0.43,0.14,0.0,0.29,0.0,0.86,0.57,0.43
svm,0.95,1.0,1.0,1.0,1.0,0.71,0.43,0.43,0.71,0.29,0.43,0.14,0.14,0.0,0.71,0.86,0.29
knn,0.98,1.0,1.0,1.0,1.0,0.86,0.14,0.71,0.43,0.57,0.29,0.14,0.57,0.0,0.14,0.86,0.57
mlp_sklearn,0.95,1.0,1.0,1.0,0.95,0.71,0.14,1.0,0.14,0.57,0.14,0.0,0.71,0.0,0.86,0.43,0.14
rand_for,0.98,1.0,1.0,1.0,1.0,0.43,0.29,0.29,0.43,0.43,0.14,0.0,0.43,0.0,0.14,1.0,0.57
dec_tree,0.99,1.0,1.0,1.0,1.0,0.29,0.29,0.57,0.29,0.43,0.0,0.14,0.57,0.0,0.5,0.29,0.29
ber_nb,0.97,0.99,1.0,1.0,1.0,0.43,0.14,0.71,0.14,0.43,0.0,0.0,0.71,0.0,0.57,0.57,0.57
xtra_tree,0.99,1.0,1.0,1.0,1.0,0.57,0.0,0.86,0.0,0.14,0.43,0.0,0.86,0.0,0.57,0.43,0.43
gau_nb,0.93,1.0,1.0,1.0,0.81,0.43,0.29,0.71,0.43,0.43,0.14,0.0,0.43,0.0,0.71,1.0,0.57
label_prop,0.97,0.97,1.0,1.0,1.0,0.43,0.14,0.71,0.14,0.57,0.0,0.0,0.86,0.29,0.71,0.57,0.57
label_spread,0.96,1.0,1.0,1.0,0.93,0.57,0.43,0.86,0.14,0.0,0.29,0.14,0.57,0.14,0.71,0.71,0.29
lda,0.87,0.98,0.98,0.9,0.9,0.86,0.43,0.64,0.43,0.43,0.14,0.0,0.29,0.0,0.21,0.71,0.43
ridge_cv,0.96,1.0,1.0,1.0,1.0,0.57,0.29,0.71,0.29,0.14,0.0,0.0,0.43,0.14,0.43,0.86,0.57
n_cent,0.96,1.0,1.0,1.0,1.0,0.43,0.14,0.57,0.29,0.43,0.14,0.0,0.43,0.0,0.71,0.43,0.57
ridge,0.99,1.0,1.0,1.0,1.0,0.43,0.43,0.71,0.86,0.29,0.14,0.29,0.29,0.29,0.71,0.71,0.14
