Algo,Overall,Bucket 0(0.343),Bucket 1(0.186),Bucket 2(0.071),Bucket 3(0.071),Bucket 4(0.0),Bucket 5(0.0),Bucket 6(0.0),Bucket 7(0.0),Bucket 8(0.014),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.029),Bucket 12(0.0),Bucket 13(0.043),Bucket 14(0.029),Bucket 15(0.0)
lr,0.81,0.88,0.89,0.78,0.9,0.43,0.29,0.36,0.29,0.0,0.29,0.0,0.29,0.0,0.79,0.29,0.29
svm,0.74,0.81,0.79,0.69,0.9,0.71,0.29,0.43,0.57,0.43,0.29,0.14,0.29,0.0,0.64,0.43,0.71
knn,0.81,0.89,0.93,0.8,0.96,0.43,0.29,0.71,0.0,0.29,0.14,0.0,0.0,0.0,0.21,0.86,0.43
mlp_sklearn,0.82,0.79,0.94,0.84,0.9,0.57,0.0,0.64,0.57,0.43,0.14,0.0,0.14,0.0,0.0,0.43,0.43
rand_for,0.79,0.92,0.94,0.82,0.89,0.36,0.29,0.57,0.71,0.0,0.0,0.0,0.43,0.0,0.0,0.5,0.5
dec_tree,0.83,0.95,0.88,0.92,0.96,0.67,0.29,0.43,0.43,0.29,0.0,0.0,0.29,0.0,0.14,0.64,0.29
ber_nb,0.67,0.72,0.85,0.78,0.5,0.36,0.43,0.21,0.0,0.14,0.0,0.14,0.0,0.0,0.57,0.71,0.29
xtra_tree,0.83,1.0,0.96,0.73,0.82,0.57,0.43,0.36,0.14,0.29,0.0,0.14,0.43,0.14,0.39,0.43,0.57
gau_nb,0.72,0.91,0.64,0.48,0.55,0.14,0.0,0.19,0.14,0.0,0.14,0.0,0.29,0.0,0.14,0.21,0.0
label_prop,0.71,0.8,0.74,0.74,0.9,0.5,0.29,0.21,0.29,0.29,0.29,0.14,0.0,0.14,0.25,0.48,0.29
label_spread,0.69,0.76,0.83,0.71,0.74,0.79,0.14,0.31,0.07,0.0,0.0,0.0,0.0,0.14,0.86,0.14,0.43
lda,0.85,0.88,0.91,0.95,0.96,0.5,0.14,0.57,0.14,0.29,0.14,0.0,0.57,0.14,0.24,0.5,0.43
ridge_cv,0.8,0.92,0.86,0.77,0.78,0.43,0.0,0.5,0.29,0.29,0.29,0.0,0.57,0.0,0.14,0.71,0.14
n_cent,0.76,0.68,0.84,0.83,0.87,0.5,0.43,0.21,0.14,0.0,0.14,0.0,0.0,0.0,0.57,0.29,0.43
ridge,0.85,0.96,0.93,0.86,0.88,0.43,0.29,0.43,0.43,0.29,0.14,0.0,0.14,0.0,0.43,0.36,0.43
