Algo,Overall,Bucket 0(0.411),Bucket 1(0.196),Bucket 2(0.071),Bucket 3(0.125),Bucket 4(0.0),Bucket 5(0.0),Bucket 6(0.036),Bucket 7(0.0),Bucket 8(0.0),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.0),Bucket 12(0.0),Bucket 13(0.018),Bucket 14(0.018),Bucket 15(0.0)
lr,0.8,0.96,0.8,0.61,0.89,0.24,0.14,0.5,0.57,0.29,0.36,0.14,0.29,0.0,0.29,0.64,0.43
svm,0.76,0.77,0.86,0.83,0.94,0.29,0.29,0.86,0.29,0.14,0.29,0.0,0.0,0.0,0.21,0.71,0.14
knn,0.88,0.96,0.89,0.98,0.84,0.19,0.29,0.86,0.43,0.14,0.43,0.0,0.57,0.0,0.5,0.88,0.29
mlp_sklearn,0.78,0.88,0.81,0.73,0.76,0.5,0.29,0.43,0.29,0.43,0.0,0.0,0.57,0.0,0.29,0.43,0.57
rand_for,0.84,0.94,0.87,0.72,0.86,0.29,0.14,0.57,0.29,0.29,0.57,0.0,0.43,0.0,0.71,0.71,0.71
dec_tree,0.81,0.89,0.85,0.69,0.88,0.57,0.43,0.57,0.29,0.29,0.14,0.14,0.29,0.0,0.43,0.86,0.57
ber_nb,0.48,0.48,0.78,0.47,0.3,0.1,0.14,0.21,0.14,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0
xtra_tree,0.87,0.93,0.92,0.95,0.95,0.29,0.29,0.71,0.29,0.14,0.36,0.14,0.57,0.0,1.0,0.71,0.29
gau_nb,0.69,0.84,0.73,0.67,0.69,0.43,0.39,0.5,0.29,0.14,0.0,0.0,0.71,0.0,0.5,0.0,0.29
label_prop,0.87,0.94,0.9,0.88,0.86,0.43,0.29,0.29,0.29,0.43,0.14,0.0,0.43,0.0,0.57,0.43,0.29
label_spread,0.82,0.94,0.85,0.8,0.86,0.36,0.0,0.36,0.14,0.14,0.57,0.0,0.43,0.0,0.54,0.71,0.57
lda,0.79,0.76,0.83,0.84,0.92,0.29,0.57,0.64,0.21,0.29,0.21,0.14,0.14,0.0,0.71,0.64,0.43
ridge_cv,0.83,0.94,0.68,0.84,0.97,0.43,0.29,0.71,0.43,0.57,0.0,0.0,0.43,0.0,0.29,0.64,0.57
n_cent,0.72,0.88,0.83,0.67,0.72,0.29,0.14,0.07,0.57,0.0,0.0,0.0,0.29,0.0,0.29,0.0,0.21
ridge,0.81,0.91,0.73,0.85,0.9,0.57,0.0,0.43,0.57,0.29,0.14,0.0,0.29,0.0,0.29,0.43,0.86
