Algo,Overall,Bucket 0(0.411),Bucket 1(0.196),Bucket 2(0.071),Bucket 3(0.125),Bucket 4(0.0),Bucket 5(0.0),Bucket 6(0.036),Bucket 7(0.0),Bucket 8(0.0),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.0),Bucket 12(0.0),Bucket 13(0.018),Bucket 14(0.018),Bucket 15(0.0)
lr,0.67,0.83,0.43,0.14,0.5,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0
svm,0.83,0.81,0.71,0.43,0.71,0.0,0.0,0.29,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.29
knn,0.89,1.0,0.86,0.14,0.57,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0
mlp_sklearn,0.82,0.9,0.74,0.43,0.29,0.0,0.0,0.29,0.0,0.14,0.0,0.0,0.14,0.0,0.14,0.0,0.0
rand_for,0.81,0.71,0.67,0.29,0.43,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0
dec_tree,0.83,0.93,0.79,0.14,0.29,0.0,0.0,0.43,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.29
ber_nb,0.43,0.39,0.52,0.36,0.14,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
xtra_tree,0.92,1.0,0.57,0.57,0.57,0.14,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14
gau_nb,0.73,0.79,0.72,0.36,0.38,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
label_prop,0.85,0.93,0.52,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.14,0.0,0.29
label_spread,0.91,0.96,0.81,0.29,0.57,0.0,0.0,0.14,0.0,0.43,0.0,0.0,0.0,0.0,0.14,0.0,0.0
lda,0.82,0.88,0.74,0.57,0.79,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
ridge_cv,0.89,0.83,0.7,0.24,0.71,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.14,0.14
n_cent,0.79,0.86,0.95,0.14,0.43,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0
ridge,0.83,0.97,0.64,0.14,0.71,0.14,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.29
