Algo,Overall,Bucket 0(0.411),Bucket 1(0.196),Bucket 2(0.071),Bucket 3(0.125),Bucket 4(0.0),Bucket 5(0.0),Bucket 6(0.036),Bucket 7(0.0),Bucket 8(0.0),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.0),Bucket 12(0.0),Bucket 13(0.018),Bucket 14(0.018),Bucket 15(0.0)
lr,0.82,0.99,0.61,0.77,0.96,0.14,0.0,0.57,0.14,0.29,0.14,0.0,0.29,0.0,0.43,0.29,0.29
svm,0.8,0.87,0.78,0.65,0.86,0.43,0.43,0.43,0.14,0.0,0.0,0.0,0.43,0.0,0.71,0.43,0.14
knn,0.87,1.0,0.87,0.8,0.95,0.0,0.0,0.57,0.14,0.29,0.14,0.0,0.43,0.0,0.57,0.29,0.29
mlp_sklearn,0.8,0.77,0.83,0.88,0.9,0.0,0.0,0.57,0.14,0.14,0.14,0.0,0.14,0.0,0.29,0.5,0.86
rand_for,0.8,0.89,0.76,0.94,0.98,0.0,0.0,0.29,0.14,0.29,0.29,0.0,0.29,0.0,0.29,0.29,0.29
dec_tree,0.83,0.85,0.96,0.89,0.71,0.0,0.0,0.57,0.0,0.29,0.29,0.0,0.0,0.0,0.14,0.14,0.43
ber_nb,0.47,0.38,0.64,0.33,0.33,0.0,0.0,0.29,0.29,0.29,0.0,0.0,0.29,0.0,0.14,0.0,0.0
xtra_tree,0.87,0.94,0.84,0.93,1.0,0.29,0.14,0.43,0.0,0.29,0.0,0.0,0.29,0.0,0.43,0.14,0.43
gau_nb,0.69,0.83,0.73,0.88,0.56,0.0,0.14,0.43,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
label_prop,0.8,0.84,0.66,0.86,0.75,0.14,0.0,0.36,0.14,0.14,0.14,0.0,0.14,0.0,0.29,0.14,0.43
label_spread,0.87,0.84,0.9,0.79,0.78,0.0,0.0,0.64,0.14,0.43,0.0,0.0,0.29,0.0,0.57,0.43,0.29
lda,0.88,0.91,0.78,0.93,0.79,0.29,0.0,0.93,0.0,0.0,0.14,0.0,0.14,0.0,0.14,0.86,0.43
ridge_cv,0.76,0.93,0.73,0.55,0.67,0.43,0.29,0.14,0.14,0.29,0.14,0.0,0.43,0.0,0.21,0.68,0.14
n_cent,0.8,0.96,0.73,0.75,0.83,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.29,0.0,0.21,0.14,0.0
ridge,0.84,0.91,0.77,0.69,0.69,0.14,0.14,0.43,0.0,0.14,0.14,0.0,0.0,0.0,0.21,0.14,0.0
