Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.86,0.99,0.82,0.83,0.79,0.32,0.44
svm,0.86,0.99,0.94,0.95,0.7,0.6,0.48
knn,0.85,0.99,0.94,0.93,0.55,0.44,0.46
mlp_sklearn,0.84,0.98,0.9,0.87,0.77,0.25,0.31
rand_for,0.79,0.94,0.57,0.78,0.75,0.46,0.31
dec_tree,0.86,0.99,0.85,0.68,0.79,0.45,0.76
ber_nb,0.82,0.95,0.72,0.61,0.9,0.55,0.51
xtra_tree,0.88,0.99,0.89,0.89,0.72,0.56,0.6
gau_nb,0.78,0.93,0.77,0.59,0.76,0.22,0.47
label_prop,0.82,0.97,0.81,0.81,0.75,0.28,0.33
label_spread,0.81,0.95,0.8,0.68,0.68,0.35,0.44
lda,0.82,0.98,0.77,0.86,0.7,0.5,0.69
ridge_cv,0.86,0.98,0.78,0.87,0.9,0.75,0.53
n_cent,0.78,0.93,0.79,0.66,0.54,0.35,0.55
ridge,0.86,0.99,0.91,0.92,0.73,0.41,0.54
