Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.85,0.99 (0.65),0.59 (0.35),0.83 (0.18),0.54 (0.05),0.09 (0.05),0.19 (0.01),0.31 (0.01)
svm,0.86,0.98 (0.66),0.62 (0.34),0.83 (0.18),0.55 (0.05),0.2 (0.04),0.07 (0.01),0.33 (0.0)
knn,0.86,0.99 (0.66),0.61 (0.34),0.87 (0.17),0.5 (0.05),0.3 (0.06),0.11 (0.01),0.06 (0.01)
mlp_sklearn,0.83,0.98 (0.65),0.54 (0.35),0.79 (0.18),0.47 (0.05),0.15 (0.05),0.12 (0.01),0.09 (0.01)
rand_for,0.8,0.92 (0.66),0.55 (0.34),0.71 (0.16),0.37 (0.06),0.32 (0.05),0.37 (0.01),0.29 (0.0)
dec_tree,0.85,0.99 (0.65),0.59 (0.35),0.81 (0.18),0.49 (0.05),0.22 (0.05),0.0 (0.02),0.0 (0.0)
ber_nb,0.82,0.95 (0.66),0.58 (0.34),0.78 (0.17),0.4 (0.05),0.28 (0.05),0.43 (0.01),0.0 (0.01)
xtra_tree,0.88,0.99 (0.64),0.69 (0.36),0.85 (0.18),0.71 (0.05),0.34 (0.06),0.57 (0.01),0.22 (0.01)
gau_nb,0.8,0.95 (0.67),0.51 (0.33),0.76 (0.16),0.37 (0.04),0.15 (0.06),0.31 (0.01),0.0 (0.0)
label_prop,0.84,0.95 (0.65),0.62 (0.35),0.81 (0.17),0.64 (0.06),0.31 (0.05),0.12 (0.02),0.08 (0.01)
label_spread,0.82,0.95 (0.65),0.57 (0.35),0.79 (0.18),0.49 (0.06),0.15 (0.05),0.08 (0.01),0.1 (0.01)
lda,0.83,0.98 (0.65),0.56 (0.35),0.86 (0.17),0.48 (0.06),0.04 (0.05),0.08 (0.01),0.0 (0.0)
ridge_cv,0.87,0.99 (0.66),0.64 (0.34),0.81 (0.17),0.65 (0.04),0.26 (0.06),0.53 (0.01),0.22 (0.01)
n_cent,0.79,0.91 (0.66),0.55 (0.34),0.75 (0.17),0.54 (0.05),0.16 (0.05),0.1 (0.01),0.07 (0.01)
ridge,0.87,0.99 (0.65),0.63 (0.35),0.85 (0.16),0.59 (0.06),0.34 (0.06),0.23 (0.01),0.25 (0.01)
2g4,0.87,0.99 (0.65),0.67 (0.35),0.86 (0.18),0.52 (0.05),0.35 (0.05),0.27 (0.01),0.11 (0.01)
2e4,0.88,0.99 (0.66),0.67 (0.34),0.85 (0.18),0.53 (0.05),0.3 (0.05),0.33 (0.01),0.2 (0.0)
2g8,0.88,0.99 (0.65),0.68 (0.35),0.84 (0.16),0.71 (0.05),0.32 (0.06),0.37 (0.01),0.22 (0.01)
2e8,0.88,0.99 (0.66),0.68 (0.34),0.85 (0.17),0.64 (0.05),0.32 (0.05),0.57 (0.01),0.25 (0.0)
2g9,0.88,0.99 (0.65),0.69 (0.35),0.85 (0.18),0.59 (0.05),0.37 (0.05),0.26 (0.01),0.29 (0.01)
2e9,0.88,0.99 (0.66),0.66 (0.34),0.83 (0.17),0.61 (0.05),0.33 (0.06),0.39 (0.01),0.12 (0.01)
g10,0.88,0.99 (0.66),0.7 (0.34),0.86 (0.18),0.58 (0.05),0.45 (0.05),0.56 (0.01),0.18 (0.01)
e10,0.89,0.99 (0.66),0.69 (0.34),0.87 (0.17),0.58 (0.05),0.42 (0.05),0.59 (0.02),0.09 (0.01)
